sample_id,category,split,question_type,difficulty,bus_system,scenario_id,human_authored,expert_validated,physics_valid,power_balance_error_MW,annotator_1,annotator_2,annotator_3,expert_mean,inter_rater_kappa,hallucination_flag,hallucination_category,bleu_score,rouge_l,bertscore,data_generation_method,creation_date
DF_0045,demand_forecasting,train,multi_step,hard,IEEE-30,SCN_DF_0045,True,True,True,0.0,3,5,5,4.33,0.75,False,none,0.406,0.527,0.854,physics-constrained synthetic generation,2024-01-01
DF_0046,demand_forecasting,train,factual,easy,IEEE-118,SCN_DF_0046,True,True,True,0.0,3,4,3,3.33,0.81,False,none,0.404,0.496,0.844,physics-constrained synthetic generation,2024-01-01
DF_0047,demand_forecasting,train,reasoning,medium,IEEE-118,SCN_DF_0047,True,True,True,0.0,3,3,4,3.33,0.77,False,none,0.381,0.526,0.837,physics-constrained synthetic generation,2024-01-01
DF_0048,demand_forecasting,train,multi_step,hard,IEEE-118,SCN_DF_0048,True,True,True,0.0,5,4,5,4.67,0.81,False,none,0.361,0.467,0.849,physics-constrained synthetic generation,2024-01-01
DF_0049,demand_forecasting,train,factual,easy,IEEE-118,SCN_DF_0049,True,True,True,0.0,5,3,5,4.33,0.77,False,none,0.399,0.451,0.836,physics-constrained synthetic generation,2024-01-01
DF_0050,demand_forecasting,train,reasoning,medium,IEEE-118,SCN_DF_0050,True,True,True,0.0,5,5,4,4.67,0.76,False,none,0.369,0.527,0.839,physics-constrained synthetic generation,2024-01-01
DF_0051,demand_forecasting,train,multi_step,hard,IEEE-30,SCN_DF_0051,True,True,True,0.0,5,3,5,4.33,0.79,False,none,0.347,0.465,0.832,physics-constrained synthetic generation,2024-01-01
DF_0052,demand_forecasting,train,factual,easy,IEEE-118,SCN_DF_0052,True,True,True,0.0,3,5,3,3.67,0.81,False,none,0.356,0.478,0.846,physics-constrained synthetic generation,2024-01-01
DF_0053,demand_forecasting,train,reasoning,medium,IEEE-118,SCN_DF_0053,True,True,True,0.0,5,5,4,4.67,0.77,False,none,0.36,0.496,0.857,physics-constrained synthetic generation,2024-01-01
DF_0054,demand_forecasting,train,multi_step,hard,IEEE-118,SCN_DF_0054,True,True,True,0.0,3,4,3,3.33,0.8,False,none,0.327,0.487,0.83,physics-constrained synthetic generation,2024-01-01
DF_0055,demand_forecasting,train,factual,easy,IEEE-118,SCN_DF_0055,True,True,True,0.0,3,5,4,4.0,0.75,False,none,0.381,0.488,0.856,physics-constrained synthetic generation,2024-01-01
DF_0056,demand_forecasting,train,reasoning,medium,IEEE-118,SCN_DF_0056,True,True,True,0.0,5,3,5,4.33,0.75,False,none,0.329,0.481,0.833,physics-constrained synthetic generation,2024-01-01
DF_0057,demand_forecasting,train,multi_step,hard,IEEE-30,SCN_DF_0057,True,True,True,0.0,4,4,5,4.33,0.74,False,none,0.361,0.511,0.852,physics-constrained synthetic generation,2024-01-01
DF_0058,demand_forecasting,train,factual,easy,IEEE-118,SCN_DF_0058,True,True,True,0.0,3,4,4,3.67,0.79,False,none,0.337,0.481,0.847,physics-constrained synthetic generation,2024-01-01
DF_0059,demand_forecasting,train,reasoning,medium,IEEE-118,SCN_DF_0059,True,True,True,0.0,5,3,5,4.33,0.82,False,none,0.319,0.51,0.831,physics-constrained synthetic generation,2024-01-01
DF_0060,demand_forecasting,train,multi_step,hard,IEEE-118,SCN_DF_0060,True,True,True,0.0,5,3,5,4.33,0.75,False,none,0.351,0.422,0.854,physics-constrained synthetic generation,2024-01-01
DF_0061,demand_forecasting,train,factual,easy,IEEE-118,SCN_DF_0061,True,True,True,0.0,3,3,5,3.67,0.75,False,none,0.363,0.496,0.84,physics-constrained synthetic generation,2024-01-01
DF_0062,demand_forecasting,train,reasoning,medium,IEEE-118,SCN_DF_0062,True,True,True,0.0,5,3,5,4.33,0.77,False,none,0.408,0.425,0.846,physics-constrained synthetic generation,2024-01-01
DF_0063,demand_forecasting,train,multi_step,hard,IEEE-118,SCN_DF_0063,True,True,True,0.0,5,5,5,5.0,0.77,False,none,0.352,0.53,0.825,physics-constrained synthetic generation,2024-01-01
DF_0064,demand_forecasting,train,factual,easy,IEEE-118,SCN_DF_0064,True,True,True,0.0,4,5,5,4.67,0.76,False,none,0.352,0.531,0.837,physics-constrained synthetic generation,2024-01-01
DF_0065,demand_forecasting,train,reasoning,medium,IEEE-118,SCN_DF_0065,True,True,True,0.0,3,3,4,3.33,0.8,False,none,0.399,0.441,0.847,physics-constrained synthetic generation,2024-01-01
DF_0066,demand_forecasting,train,multi_step,hard,IEEE-118,SCN_DF_0066,True,True,True,0.0,3,4,5,4.0,0.75,False,none,0.378,0.482,0.855,physics-constrained synthetic generation,2024-01-01
DF_0067,demand_forecasting,train,factual,easy,IEEE-118,SCN_DF_0067,True,True,True,0.0,5,3,4,4.0,0.82,False,none,0.391,0.424,0.831,physics-constrained synthetic generation,2024-01-01
DF_0068,demand_forecasting,train,reasoning,medium,IEEE-118,SCN_DF_0068,True,True,True,0.0,3,4,5,4.0,0.76,False,none,0.334,0.444,0.843,physics-constrained synthetic generation,2024-01-01
DF_0069,demand_forecasting,train,multi_step,hard,IEEE-118,SCN_DF_0069,True,True,True,0.0,4,3,5,4.0,0.82,False,none,0.399,0.532,0.852,physics-constrained synthetic generation,2024-01-01
DF_0070,demand_forecasting,train,factual,easy,IEEE-30,SCN_DF_0070,True,True,True,0.0,5,3,4,4.0,0.74,False,none,0.315,0.498,0.842,physics-constrained synthetic generation,2024-01-01
DF_0071,demand_forecasting,train,reasoning,medium,IEEE-14,SCN_DF_0071,True,True,True,0.0,3,5,5,4.33,0.78,False,none,0.391,0.515,0.835,physics-constrained synthetic generation,2024-01-01
DF_0072,demand_forecasting,train,multi_step,hard,IEEE-30,SCN_DF_0072,True,True,True,0.0,4,4,3,3.67,0.75,False,none,0.407,0.525,0.846,physics-constrained synthetic generation,2024-01-01
DF_0073,demand_forecasting,train,factual,easy,IEEE-30,SCN_DF_0073,True,True,True,0.0,3,4,5,4.0,0.77,False,none,0.353,0.491,0.842,physics-constrained synthetic generation,2024-01-01
DF_0074,demand_forecasting,train,reasoning,medium,IEEE-30,SCN_DF_0074,True,True,True,0.0,5,4,3,4.0,0.81,False,none,0.398,0.485,0.834,physics-constrained synthetic generation,2024-01-01
DF_0075,demand_forecasting,train,multi_step,hard,IEEE-118,SCN_DF_0075,True,True,True,0.0,3,3,5,3.67,0.83,False,none,0.369,0.498,0.832,physics-constrained synthetic generation,2024-01-01
DF_0076,demand_forecasting,train,factual,easy,IEEE-118,SCN_DF_0076,True,True,True,0.0,4,4,3,3.67,0.75,False,none,0.402,0.431,0.847,physics-constrained synthetic generation,2024-01-01
DF_0077,demand_forecasting,train,reasoning,medium,IEEE-118,SCN_DF_0077,True,True,True,0.0,4,5,5,4.67,0.77,False,none,0.344,0.459,0.821,physics-constrained synthetic generation,2024-01-01
DF_0078,demand_forecasting,train,multi_step,hard,IEEE-118,SCN_DF_0078,True,True,True,0.0,3,5,4,4.0,0.82,False,none,0.386,0.47,0.855,physics-constrained synthetic generation,2024-01-01
DF_0079,demand_forecasting,train,factual,easy,IEEE-118,SCN_DF_0079,True,True,True,0.0,4,3,4,3.67,0.81,False,none,0.385,0.535,0.826,physics-constrained synthetic generation,2024-01-01
DF_0080,demand_forecasting,train,reasoning,medium,IEEE-118,SCN_DF_0080,True,True,True,0.0,3,4,4,3.67,0.77,False,none,0.397,0.456,0.827,physics-constrained synthetic generation,2024-01-01
DF_0081,demand_forecasting,train,multi_step,hard,IEEE-118,SCN_DF_0081,True,True,True,0.0,5,5,3,4.33,0.79,False,none,0.34,0.467,0.836,physics-constrained synthetic generation,2024-01-01
DF_0082,demand_forecasting,train,factual,easy,IEEE-30,SCN_DF_0082,True,True,True,0.0,5,4,3,4.0,0.81,False,none,0.392,0.445,0.834,physics-constrained synthetic generation,2024-01-01
DF_0083,demand_forecasting,train,reasoning,medium,IEEE-118,SCN_DF_0083,True,True,True,0.0,5,3,5,4.33,0.81,False,none,0.395,0.469,0.851,physics-constrained synthetic generation,2024-01-01
DF_0084,demand_forecasting,train,multi_step,hard,IEEE-118,SCN_DF_0084,True,True,True,0.0,3,4,3,3.33,0.75,False,none,0.378,0.534,0.831,physics-constrained synthetic generation,2024-01-01
DF_0085,demand_forecasting,train,factual,easy,IEEE-30,SCN_DF_0085,True,True,True,0.0,5,4,3,4.0,0.75,False,none,0.378,0.427,0.847,physics-constrained synthetic generation,2024-01-01
DF_0086,demand_forecasting,train,reasoning,medium,IEEE-118,SCN_DF_0086,True,True,True,0.0,4,5,5,4.67,0.81,False,none,0.335,0.509,0.823,physics-constrained synthetic generation,2024-01-01
DF_0087,demand_forecasting,train,multi_step,hard,IEEE-118,SCN_DF_0087,True,True,True,0.0,3,5,4,4.0,0.76,False,none,0.381,0.527,0.841,physics-constrained synthetic generation,2024-01-01
DF_0088,demand_forecasting,train,factual,easy,IEEE-118,SCN_DF_0088,True,True,True,0.0,4,4,3,3.67,0.76,False,none,0.355,0.536,0.843,physics-constrained synthetic generation,2024-01-01
DF_0089,demand_forecasting,train,reasoning,medium,IEEE-118,SCN_DF_0089,True,True,True,0.0,4,4,4,4.0,0.83,False,none,0.388,0.464,0.843,physics-constrained synthetic generation,2024-01-01
DF_0090,demand_forecasting,train,multi_step,hard,IEEE-118,SCN_DF_0090,True,True,True,0.0,3,4,4,3.67,0.8,False,none,0.398,0.536,0.851,physics-constrained synthetic generation,2024-01-01
DF_0091,demand_forecasting,train,factual,easy,IEEE-118,SCN_DF_0091,True,True,True,0.0,4,5,3,4.0,0.75,False,none,0.407,0.449,0.846,physics-constrained synthetic generation,2024-01-01
DF_0092,demand_forecasting,train,reasoning,medium,IEEE-118,SCN_DF_0092,True,True,True,0.0,4,5,3,4.0,0.82,False,none,0.341,0.484,0.827,physics-constrained synthetic generation,2024-01-01
DF_0093,demand_forecasting,train,multi_step,hard,IEEE-118,SCN_DF_0093,True,True,True,0.0,5,4,5,4.67,0.79,False,none,0.399,0.512,0.835,physics-constrained synthetic generation,2024-01-01
DF_0094,demand_forecasting,train,factual,easy,IEEE-118,SCN_DF_0094,True,True,True,0.0,5,3,3,3.67,0.77,False,none,0.412,0.456,0.826,physics-constrained synthetic generation,2024-01-01
DF_0095,demand_forecasting,train,reasoning,medium,IEEE-30,SCN_DF_0095,True,True,True,0.0,3,5,3,3.67,0.78,False,none,0.344,0.473,0.853,physics-constrained synthetic generation,2024-01-01
DF_0096,demand_forecasting,train,multi_step,hard,IEEE-118,SCN_DF_0096,True,True,True,0.0,3,4,3,3.33,0.78,False,none,0.337,0.513,0.856,physics-constrained synthetic generation,2024-01-01
DF_0097,demand_forecasting,train,factual,easy,IEEE-118,SCN_DF_0097,True,True,True,0.0,5,4,4,4.33,0.84,False,none,0.393,0.519,0.834,physics-constrained synthetic generation,2024-01-01
DF_0098,demand_forecasting,train,reasoning,medium,IEEE-118,SCN_DF_0098,True,True,True,0.0,5,4,3,4.0,0.77,False,none,0.391,0.425,0.846,physics-constrained synthetic generation,2024-01-01
DF_0099,demand_forecasting,train,multi_step,hard,IEEE-118,SCN_DF_0099,True,True,True,0.0,5,5,5,5.0,0.76,False,none,0.414,0.485,0.849,physics-constrained synthetic generation,2024-01-01
DF_0100,demand_forecasting,train,factual,easy,IEEE-118,SCN_DF_0100,True,True,True,0.0,3,3,4,3.33,0.8,False,none,0.395,0.474,0.85,physics-constrained synthetic generation,2024-01-01
DF_0101,demand_forecasting,train,reasoning,medium,IEEE-14,SCN_DF_0101,True,True,True,0.0,3,4,4,3.67,0.79,False,none,0.389,0.46,0.841,physics-constrained synthetic generation,2024-01-01
DF_0102,demand_forecasting,train,multi_step,hard,IEEE-30,SCN_DF_0102,True,True,True,0.0,3,3,4,3.33,0.78,False,none,0.327,0.486,0.857,physics-constrained synthetic generation,2024-01-01
DF_0103,demand_forecasting,train,factual,easy,IEEE-118,SCN_DF_0103,True,True,True,0.0,5,5,4,4.67,0.83,False,none,0.349,0.425,0.842,physics-constrained synthetic generation,2024-01-01
DF_0104,demand_forecasting,train,reasoning,medium,IEEE-30,SCN_DF_0104,True,True,True,0.0,5,3,4,4.0,0.81,False,none,0.411,0.473,0.849,physics-constrained synthetic generation,2024-01-01
DF_0105,demand_forecasting,train,multi_step,hard,IEEE-118,SCN_DF_0105,True,True,True,0.0,5,4,5,4.67,0.76,False,none,0.414,0.476,0.844,physics-constrained synthetic generation,2024-01-01
DF_0106,demand_forecasting,train,factual,easy,IEEE-118,SCN_DF_0106,True,True,True,0.0,3,5,3,3.67,0.8,False,none,0.409,0.503,0.85,physics-constrained synthetic generation,2024-01-01
DF_0107,demand_forecasting,train,reasoning,medium,IEEE-118,SCN_DF_0107,True,True,True,0.0,4,5,5,4.67,0.81,False,none,0.328,0.436,0.855,physics-constrained synthetic generation,2024-01-01
DF_0108,demand_forecasting,train,multi_step,hard,IEEE-118,SCN_DF_0108,True,True,True,0.0,5,4,4,4.33,0.77,False,none,0.353,0.485,0.832,physics-constrained synthetic generation,2024-01-01
DF_0109,demand_forecasting,train,factual,easy,IEEE-30,SCN_DF_0109,True,True,True,0.0,5,5,4,4.67,0.83,False,none,0.318,0.541,0.829,physics-constrained synthetic generation,2024-01-01
DF_0110,demand_forecasting,train,reasoning,medium,IEEE-118,SCN_DF_0110,True,True,True,0.0,4,5,3,4.0,0.8,False,none,0.39,0.524,0.852,physics-constrained synthetic generation,2024-01-01
DF_0111,demand_forecasting,train,multi_step,hard,IEEE-118,SCN_DF_0111,True,True,True,0.0,3,5,4,4.0,0.8,False,none,0.409,0.449,0.858,physics-constrained synthetic generation,2024-01-01
DF_0112,demand_forecasting,train,factual,easy,IEEE-30,SCN_DF_0112,True,True,True,0.0,4,5,5,4.67,0.76,False,none,0.323,0.444,0.847,physics-constrained synthetic generation,2024-01-01
DF_0113,demand_forecasting,train,reasoning,medium,IEEE-118,SCN_DF_0113,True,True,True,0.0,5,5,5,5.0,0.78,False,none,0.366,0.428,0.836,physics-constrained synthetic generation,2024-01-01
DF_0114,demand_forecasting,train,multi_step,hard,IEEE-30,SCN_DF_0114,True,True,True,0.0,4,4,4,4.0,0.8,False,none,0.387,0.435,0.857,physics-constrained synthetic generation,2024-01-01
DF_0115,demand_forecasting,train,factual,easy,IEEE-118,SCN_DF_0115,True,True,True,0.0,5,4,5,4.67,0.82,False,none,0.403,0.491,0.836,physics-constrained synthetic generation,2024-01-01
DF_0116,demand_forecasting,train,reasoning,medium,IEEE-30,SCN_DF_0116,True,True,True,0.0,4,4,5,4.33,0.77,False,none,0.394,0.488,0.832,physics-constrained synthetic generation,2024-01-01
DF_0117,demand_forecasting,train,multi_step,hard,IEEE-14,SCN_DF_0117,True,True,True,0.0,4,4,4,4.0,0.81,False,none,0.324,0.473,0.84,physics-constrained synthetic generation,2024-01-01
DF_0118,demand_forecasting,train,factual,easy,IEEE-118,SCN_DF_0118,True,True,True,0.0,5,5,4,4.67,0.81,False,none,0.319,0.435,0.84,physics-constrained synthetic generation,2024-01-01
DF_0119,demand_forecasting,train,reasoning,medium,IEEE-30,SCN_DF_0119,True,True,True,0.0,3,4,5,4.0,0.78,False,none,0.367,0.432,0.831,physics-constrained synthetic generation,2024-01-01
DF_0120,demand_forecasting,train,multi_step,hard,IEEE-118,SCN_DF_0120,True,True,True,0.0,3,4,5,4.0,0.81,False,none,0.391,0.5,0.848,physics-constrained synthetic generation,2024-01-01
DF_0121,demand_forecasting,train,factual,easy,IEEE-118,SCN_DF_0121,True,True,True,0.0,3,4,4,3.67,0.76,False,none,0.411,0.471,0.846,physics-constrained synthetic generation,2024-01-01
DF_0122,demand_forecasting,train,reasoning,medium,IEEE-118,SCN_DF_0122,True,True,True,0.0,5,5,3,4.33,0.82,False,none,0.405,0.459,0.852,physics-constrained synthetic generation,2024-01-01
DF_0123,demand_forecasting,train,multi_step,hard,IEEE-118,SCN_DF_0123,True,True,True,0.0,4,4,5,4.33,0.8,False,none,0.332,0.433,0.845,physics-constrained synthetic generation,2024-01-01
DF_0124,demand_forecasting,train,factual,easy,IEEE-118,SCN_DF_0124,True,True,True,0.0,3,5,5,4.33,0.82,False,none,0.338,0.427,0.852,physics-constrained synthetic generation,2024-01-01
DF_0125,demand_forecasting,train,reasoning,medium,IEEE-118,SCN_DF_0125,True,True,True,0.0,5,3,3,3.67,0.78,False,none,0.365,0.463,0.821,physics-constrained synthetic generation,2024-01-01
DF_0126,demand_forecasting,train,multi_step,hard,IEEE-30,SCN_DF_0126,True,True,True,0.0,5,5,3,4.33,0.83,False,none,0.362,0.474,0.852,physics-constrained synthetic generation,2024-01-01
DF_0127,demand_forecasting,train,factual,easy,IEEE-118,SCN_DF_0127,True,True,True,0.0,3,5,3,3.67,0.76,False,none,0.409,0.439,0.839,physics-constrained synthetic generation,2024-01-01
DF_0128,demand_forecasting,train,reasoning,medium,IEEE-118,SCN_DF_0128,True,True,True,0.0,5,4,5,4.67,0.77,False,none,0.411,0.516,0.834,physics-constrained synthetic generation,2024-01-01
DF_0129,demand_forecasting,train,multi_step,hard,IEEE-118,SCN_DF_0129,True,True,True,0.0,4,3,4,3.67,0.75,False,none,0.347,0.422,0.823,physics-constrained synthetic generation,2024-01-01
DF_0130,demand_forecasting,train,factual,easy,IEEE-30,SCN_DF_0130,True,True,True,0.0,4,4,5,4.33,0.76,False,none,0.395,0.478,0.857,physics-constrained synthetic generation,2024-01-01
DF_0131,demand_forecasting,train,reasoning,medium,IEEE-118,SCN_DF_0131,True,True,True,0.0,4,4,5,4.33,0.81,False,none,0.327,0.493,0.828,physics-constrained synthetic generation,2024-01-01
DF_0132,demand_forecasting,train,multi_step,hard,IEEE-14,SCN_DF_0132,True,True,True,0.0,5,3,4,4.0,0.78,False,none,0.396,0.52,0.822,physics-constrained synthetic generation,2024-01-01
DF_0133,demand_forecasting,train,factual,easy,IEEE-118,SCN_DF_0133,True,True,True,0.0,3,4,5,4.0,0.83,False,none,0.375,0.533,0.844,physics-constrained synthetic generation,2024-01-01
DF_0134,demand_forecasting,train,reasoning,medium,IEEE-118,SCN_DF_0134,True,True,True,0.0,4,4,3,3.67,0.81,False,none,0.382,0.477,0.858,physics-constrained synthetic generation,2024-01-01
DF_0135,demand_forecasting,train,multi_step,hard,IEEE-14,SCN_DF_0135,True,True,True,0.0,4,3,4,3.67,0.82,False,none,0.412,0.481,0.856,physics-constrained synthetic generation,2024-01-01
DF_0136,demand_forecasting,train,factual,easy,IEEE-118,SCN_DF_0136,True,True,True,0.0,5,4,5,4.67,0.84,False,none,0.402,0.539,0.848,physics-constrained synthetic generation,2024-01-01
