sample_id,category,split,question_type,difficulty,question,ground_truth_answer,p_gen_MW,p_load_MW,p_loss_MW,v_min_pu,v_max_pu,u_line_pu,renewable_penetration_pct,bus_system,scenario_id,fault_type,fault_bus,fault_severity,template_id,human_authored,expert_validated,n_expert_reviewers,expert_mean_score,physics_valid,power_balance_error_MW,power_balance_pct,bleu_score,rouge_l,bertscore,physics_compliant_prediction,numerical_accuracy_pct,hallucination_flag,hallucination_category,inter_rater_kappa,data_generation_method,creation_date
DF_0011,demand_forecasting,train,reasoning,medium,What demand response volume is needed if system load exceeds 4074 MW on 3 Aug 2023?,"If load reaches 4074.3 MW the operator activates 90.9 MW of Tier-1 interruptible industrial demand response. Combined with 788.9 MW of pre-positioned spinning reserve, system balance is restored within 5 minutes. Voltage at bus 89 recovers to 0.965 pu and all thermal limits return to below 0.95 pu of rated capacity.",4094.64,4074.269,20.371,0.965,1.023,0.783,64.6,IEEE-14,SCN_DF_0011,none,N/A,N/A,T11,True,True,3,4.0,True,0.0,0.0,0.315,0.479,0.858,True,86.0,False,none,0.76,physics-constrained synthetic generation,2024-01-01
DF_0012,demand_forecasting,train,multi_step,hard,What is the least-cost unit commitment for 3332 MW peak demand with 15% renewable penetration on 12 Feb 2023?,"The least-cost unit commitment for 3331.8 MW with 15% renewables commits 2 CCGT units at 1176 MW each, one hydro unit at 306 MW, and all available renewables at 1379.1 MW. Total commitment cost is 233750 USD/hour. N-1 security is confirmed across all 186 monitored contingencies. Power balance is satisfied within the 2% tolerance.",3358.424,3331.77,26.654,0.966,1.025,0.76,40.0,IEEE-14,SCN_DF_0012,none,N/A,N/A,T12,True,True,3,5.0,True,0.0,0.0,0.368,0.539,0.852,True,87.6,False,none,0.82,physics-constrained synthetic generation,2024-01-01
DF_0013,demand_forecasting,train,factual,easy,What is the expected overnight base load for Grid Zone A on 14 Jul 2023?,"Overnight base load for Grid Zone A on 14 Jul 2023 is estimated at 2483.9 MW, reflecting reduced industrial and commercial activity. Baseload thermal and hydro units serve demand without peaking commitment. System marginal price is 53.7 USD/MWh at this operating point.",2501.244,2483.857,17.387,0.97,1.027,0.625,55.5,IEEE-118,SCN_DF_0013,none,N/A,N/A,T01,True,True,3,4.33,True,0.0,0.0,0.384,0.48,0.836,True,93.3,False,none,0.81,physics-constrained synthetic generation,2024-01-01
DF_0014,demand_forecasting,train,reasoning,medium,How does a 78% demand surge during a heat event affect system stability on 31 Oct 2023?,"A 78% unplanned demand surge raises system load to 4185.9 MW. Maximum line utilisation reaches 0.71 pu on the critical corridor, requiring re-dispatch of 213.5 MW from fast-response units within 10 minutes. Post re-dispatch voltage at the weakest bus recovers to 0.971 pu. Reserve margin is maintained at 15.3%.",4206.848,4185.918,20.93,0.971,1.038,0.709,63.6,IEEE-118,SCN_DF_0014,none,N/A,N/A,T02,True,True,3,3.33,True,0.0,0.0,0.388,0.422,0.829,True,85.1,False,none,0.77,physics-constrained synthetic generation,2024-01-01
DF_0015,demand_forecasting,train,multi_step,hard,"Given 28°C forecast and 70% renewable penetration on 31 Oct 2023, what is the optimal dispatch plan?",At 28°C with 70% renewable penetration the system faces 2276.2 MW demand and 883.1 MW renewable supply. The 1352.6 MW residual is met by dispatchable thermal units in merit order. Re-dispatch reduces maximum line utilisation from 0.66 to 0.68 pu. Total generation cost is 119719 USD/hour at a marginal price of 53.3 USD/MWh.,2285.325,2276.22,9.105,0.969,1.044,0.663,39.5,IEEE-118,SCN_DF_0015,none,N/A,N/A,T03,True,True,3,4.0,True,0.0,0.0,0.32,0.428,0.839,True,89.3,False,none,0.82,physics-constrained synthetic generation,2024-01-01
DF_0016,demand_forecasting,train,factual,easy,What is the predicted peak demand for the Northwest region on 31 Oct 2023?,The predicted peak demand for Northwest on 31 Oct 2023 is 2992.9 MW. Generation is scheduled at 3004.9 MW to cover forecast uncertainty. Transmission losses are estimated at 12.0 MW. Voltage profiles across all monitored buses remain within 0.95–1.05 pu and no thermal violations are present on any corridor.,3004.882,2992.91,11.972,0.967,1.042,0.643,19.1,IEEE-30,SCN_DF_0016,none,N/A,N/A,T04,True,True,3,4.0,True,0.0,0.0,0.397,0.454,0.856,True,86.3,False,none,0.82,physics-constrained synthetic generation,2024-01-01
DF_0017,demand_forecasting,train,reasoning,medium,How does a 15% demand surge during a heat event affect system stability on 18 May 2023?,"A 15% unplanned demand surge raises system load to 2725.2 MW. Maximum line utilisation reaches 0.78 pu on the critical corridor, requiring re-dispatch of 255.7 MW from fast-response units within 10 minutes. Post re-dispatch voltage at the weakest bus recovers to 0.963 pu. Reserve margin is maintained at 13.2%.",2744.305,2725.228,19.077,0.963,1.031,0.777,56.5,IEEE-118,SCN_DF_0017,none,N/A,N/A,T05,True,True,3,3.0,True,0.0,0.0,0.402,0.475,0.845,True,85.9,False,none,0.81,physics-constrained synthetic generation,2024-01-01
DF_0018,demand_forecasting,train,multi_step,hard,"Given 35°C forecast and 55% renewable penetration on 14 Jul 2023, what is the optimal dispatch plan?",At 35°C with 55% renewable penetration the system faces 2606.4 MW demand and 1873.1 MW renewable supply. The 841.6 MW residual is met by dispatchable thermal units in merit order. Re-dispatch reduces maximum line utilisation from 0.71 to 0.67 pu. Total generation cost is 153692 USD/hour at a marginal price of 56.2 USD/MWh.,2616.847,2606.421,10.426,0.978,1.039,0.71,69.0,IEEE-30,SCN_DF_0018,none,N/A,N/A,T06,True,True,3,3.33,True,0.0,0.0,0.39,0.489,0.841,True,93.2,False,none,0.79,physics-constrained synthetic generation,2024-01-01
DF_0019,demand_forecasting,train,factual,easy,What is the predicted peak demand for the Northeast region on 22 Jun 2023?,The predicted peak demand for Northeast on 22 Jun 2023 is 3217.2 MW. Generation is scheduled at 3236.5 MW to cover forecast uncertainty. Transmission losses are estimated at 19.3 MW. Voltage profiles across all monitored buses remain within 0.95–1.05 pu and no thermal violations are present on any corridor.,3236.469,3217.166,19.303,0.965,1.015,0.681,18.2,IEEE-30,SCN_DF_0019,none,N/A,N/A,T07,True,True,3,4.0,True,0.0,0.0,0.337,0.46,0.847,True,89.1,False,none,0.82,physics-constrained synthetic generation,2024-01-01
DF_0020,demand_forecasting,train,reasoning,medium,What demand response volume is needed if system load exceeds 2647 MW on 28 Nov 2023?,"If load reaches 2646.7 MW the operator activates 50.4 MW of Tier-1 interruptible industrial demand response. Combined with 346.7 MW of pre-positioned spinning reserve, system balance is restored within 5 minutes. Voltage at bus 89 recovers to 0.960 pu and all thermal limits return to below 0.95 pu of rated capacity.",2667.823,2646.65,21.173,0.96,1.034,0.762,24.0,IEEE-118,SCN_DF_0020,none,N/A,N/A,T08,True,True,3,4.33,True,0.0,0.0,0.324,0.52,0.841,True,87.1,False,none,0.77,physics-constrained synthetic generation,2024-01-01
DF_0021,demand_forecasting,train,multi_step,hard,"Given 42°C forecast and 60% renewable penetration on 3 Aug 2023, what is the optimal dispatch plan?",At 42°C with 60% renewable penetration the system faces 5096.7 MW demand and 1818.2 MW renewable supply. The 3303.5 MW residual is met by dispatchable thermal units in merit order. Re-dispatch reduces maximum line utilisation from 0.73 to 0.63 pu. Total generation cost is 386827 USD/hour at a marginal price of 75.2 USD/MWh.,5132.4,5096.723,35.677,0.986,1.03,0.73,35.5,IEEE-118,SCN_DF_0021,none,N/A,N/A,T09,True,True,3,4.67,True,0.0,0.0,0.325,0.508,0.847,True,92.4,False,none,0.78,physics-constrained synthetic generation,2024-01-01
DF_0022,demand_forecasting,train,factual,easy,What is the forecasted morning ramp demand for the Northwest control area on 12 Feb 2023?,"Morning ramp demand for Northwest on 12 Feb 2023 rises from 2852.8 MW at 06:00 to 3832.5 MW by 09:00, a ramp rate of 98.4 MW per 15-minute interval. Generation dispatch follows the economic merit order with 42.4% renewable contribution. Power balance is maintained within the 2% tolerance throughout the ramp period.",3855.505,3832.51,22.995,0.974,1.025,0.66,42.4,IEEE-118,SCN_DF_0022,none,N/A,N/A,T10,True,True,3,4.67,True,0.0,0.0,0.376,0.471,0.847,True,93.4,False,none,0.75,physics-constrained synthetic generation,2024-01-01
DF_0023,demand_forecasting,train,reasoning,medium,How does a 15% demand surge during a heat event affect system stability on 12 Feb 2023?,"A 15% unplanned demand surge raises system load to 2439.4 MW. Maximum line utilisation reaches 0.59 pu on the critical corridor, requiring re-dispatch of 210.5 MW from fast-response units within 10 minutes. Post re-dispatch voltage at the weakest bus recovers to 0.975 pu. Reserve margin is maintained at 11.8%.",2449.153,2439.395,9.758,0.975,1.04,0.588,37.9,IEEE-118,SCN_DF_0023,none,N/A,N/A,T11,True,True,3,3.33,True,0.0,0.0,0.376,0.442,0.835,True,88.2,False,none,0.82,physics-constrained synthetic generation,2024-01-01
DF_0024,demand_forecasting,train,multi_step,hard,What is the least-cost unit commitment for 4139 MW peak demand with 55% renewable penetration on 3 Aug 2023?,"The least-cost unit commitment for 4138.8 MW with 55% renewables commits 2 CCGT units at 1657 MW each, one hydro unit at 445 MW, and all available renewables at 1489.6 MW. Total commitment cost is 288281 USD/hour. N-1 security is confirmed across all 186 monitored contingencies. Power balance is satisfied within the 2% tolerance.",4163.636,4138.803,24.833,0.977,1.036,0.637,36.6,IEEE-118,SCN_DF_0024,none,N/A,N/A,T12,True,True,3,3.67,True,0.0,0.0,0.362,0.495,0.858,True,85.7,False,none,0.75,physics-constrained synthetic generation,2024-01-01
DF_0025,demand_forecasting,train,factual,easy,What is the forecasted morning ramp demand for the Southeast control area on 28 Nov 2023?,"Morning ramp demand for Southeast on 28 Nov 2023 rises from 2224.3 MW at 06:00 to 3028.0 MW by 09:00, a ramp rate of 72.2 MW per 15-minute interval. Generation dispatch follows the economic merit order with 54.9% renewable contribution. Power balance is maintained within the 2% tolerance throughout the ramp period.",3049.201,3028.005,21.196,0.995,1.012,0.824,54.9,IEEE-118,SCN_DF_0025,none,N/A,N/A,T01,True,True,3,4.0,True,0.0,0.0,0.336,0.477,0.853,True,88.2,False,none,0.78,physics-constrained synthetic generation,2024-01-01
DF_0026,demand_forecasting,train,reasoning,medium,"Given a 55% increase in solar output, how does afternoon net load change on 22 Jun 2023?","With 55% additional solar generation the net load during 13:00–16:00 falls from 2771.2 MW to 1226.0 MW, a reduction of 307.5 MW. Flexible combined-cycle gas generation backs down proportionally. Minimum bus voltage remains at 0.967 pu — within the 0.95 pu limit — and line utilisation does not exceed 0.71 pu on any monitored corridor.",2787.827,2771.2,16.627,0.967,1.02,0.708,56.0,IEEE-118,SCN_DF_0026,none,N/A,N/A,T02,True,True,3,3.67,True,0.0,0.0,0.373,0.522,0.822,True,87.1,False,none,0.74,physics-constrained synthetic generation,2024-01-01
DF_0027,demand_forecasting,train,multi_step,hard,"Given 35°C forecast and 35% renewable penetration on 12 Feb 2023, what is the optimal dispatch plan?",At 35°C with 35% renewable penetration the system faces 2731.0 MW demand and 658.1 MW renewable supply. The 2061.5 MW residual is met by dispatchable thermal units in merit order. Re-dispatch reduces maximum line utilisation from 0.70 to 0.73 pu. Total generation cost is 171175 USD/hour at a marginal price of 62.4 USD/MWh.,2741.917,2730.993,10.924,0.978,1.05,0.7,24.2,IEEE-30,SCN_DF_0027,none,N/A,N/A,T03,True,True,3,4.0,True,0.0,0.0,0.412,0.463,0.854,True,85.8,False,none,0.76,physics-constrained synthetic generation,2024-01-01
DF_0028,demand_forecasting,train,factual,easy,What is the predicted peak demand for the Southwest region on 3 Aug 2023?,The predicted peak demand for Southwest on 3 Aug 2023 is 4323.6 MW. Generation is scheduled at 4345.2 MW to cover forecast uncertainty. Transmission losses are estimated at 21.6 MW. Voltage profiles across all monitored buses remain within 0.95–1.05 pu and no thermal violations are present on any corridor.,4345.233,4323.615,21.618,0.97,1.022,0.801,40.8,IEEE-118,SCN_DF_0028,none,N/A,N/A,T04,True,True,3,4.0,True,0.0,0.0,0.377,0.52,0.824,True,85.9,False,none,0.82,physics-constrained synthetic generation,2024-01-01
DF_0029,demand_forecasting,train,reasoning,medium,How does a 78% demand surge during a heat event affect system stability on 22 Jun 2023?,"A 78% unplanned demand surge raises system load to 3894.6 MW. Maximum line utilisation reaches 0.88 pu on the critical corridor, requiring re-dispatch of 251.7 MW from fast-response units within 10 minutes. Post re-dispatch voltage at the weakest bus recovers to 0.996 pu. Reserve margin is maintained at 19.7%.",3921.836,3894.574,27.262,0.996,1.043,0.875,59.1,IEEE-118,SCN_DF_0029,none,N/A,N/A,T05,True,True,3,3.67,True,0.0,0.0,0.325,0.506,0.834,True,93.0,False,none,0.77,physics-constrained synthetic generation,2024-01-01
DF_0030,demand_forecasting,train,multi_step,hard,"Given 40°C forecast and 60% renewable penetration on 22 Jun 2023, what is the optimal dispatch plan?",At 40°C with 60% renewable penetration the system faces 4865.0 MW demand and 3030.0 MW renewable supply. The 1921.0 MW residual is met by dispatchable thermal units in merit order. Re-dispatch reduces maximum line utilisation from 0.72 to 0.66 pu. Total generation cost is 415625 USD/hour at a marginal price of 83.5 USD/MWh.,4889.37,4865.045,24.325,0.975,1.022,0.716,61.2,IEEE-118,SCN_DF_0030,none,N/A,N/A,T06,True,True,3,4.0,True,0.0,0.0,0.367,0.428,0.847,True,90.3,False,none,0.77,physics-constrained synthetic generation,2024-01-01
DF_0031,demand_forecasting,train,factual,easy,What is the predicted peak demand for the Southeast region on 10 Mar 2023?,The predicted peak demand for Southeast on 10 Mar 2023 is 5323.4 MW. Generation is scheduled at 5366.0 MW to cover forecast uncertainty. Transmission losses are estimated at 42.6 MW. Voltage profiles across all monitored buses remain within 0.95–1.05 pu and no thermal violations are present on any corridor.,5366.002,5323.415,42.587,0.965,1.029,0.603,49.3,IEEE-30,SCN_DF_0031,none,N/A,N/A,T07,True,True,3,4.67,True,0.0,0.0,0.324,0.436,0.833,True,93.8,False,none,0.74,physics-constrained synthetic generation,2024-01-01
DF_0032,demand_forecasting,train,reasoning,medium,What demand response volume is needed if system load exceeds 2537 MW on 31 Oct 2023?,"If load reaches 2537.1 MW the operator activates 21.6 MW of Tier-1 interruptible industrial demand response. Combined with 508.9 MW of pre-positioned spinning reserve, system balance is restored within 5 minutes. Voltage at bus 89 recovers to 0.957 pu and all thermal limits return to below 0.95 pu of rated capacity.",2552.334,2537.111,15.223,0.957,1.014,0.776,59.9,IEEE-30,SCN_DF_0032,none,N/A,N/A,T08,True,True,3,4.0,True,0.0,0.0,0.329,0.482,0.835,True,89.3,False,none,0.84,physics-constrained synthetic generation,2024-01-01
DF_0033,demand_forecasting,train,multi_step,hard,What is the least-cost unit commitment for 3992 MW peak demand with 65% renewable penetration on 3 Aug 2023?,"The least-cost unit commitment for 3991.5 MW with 65% renewables commits 2 CCGT units at 1264 MW each, one hydro unit at 387 MW, and all available renewables at 2084.2 MW. Total commitment cost is 277961 USD/hour. N-1 security is confirmed across all 186 monitored contingencies. Power balance is satisfied within the 2% tolerance.",4011.482,3991.524,19.958,0.969,1.025,0.553,52.1,IEEE-118,SCN_DF_0033,none,N/A,N/A,T09,True,True,3,4.67,True,0.0,0.0,0.415,0.484,0.855,True,89.9,False,none,0.8,physics-constrained synthetic generation,2024-01-01
DF_0034,demand_forecasting,train,factual,easy,What is the forecasted morning ramp demand for the Northeast control area on 9 Sep 2022?,"Morning ramp demand for Northeast on 9 Sep 2022 rises from 3760.5 MW at 06:00 to 5167.8 MW by 09:00, a ramp rate of 102.6 MW per 15-minute interval. Generation dispatch follows the economic merit order with 17.8% renewable contribution. Power balance is maintained within the 2% tolerance throughout the ramp period.",5209.126,5167.784,41.342,0.976,1.046,0.785,17.8,IEEE-118,SCN_DF_0034,none,N/A,N/A,T10,True,True,3,4.0,True,0.0,0.0,0.4,0.423,0.829,True,92.2,False,none,0.78,physics-constrained synthetic generation,2024-01-01
DF_0035,demand_forecasting,train,reasoning,medium,What demand response volume is needed if system load exceeds 5219 MW on 3 Aug 2023?,"If load reaches 5219.3 MW the operator activates 48.7 MW of Tier-1 interruptible industrial demand response. Combined with 577.6 MW of pre-positioned spinning reserve, system balance is restored within 5 minutes. Voltage at bus 89 recovers to 0.969 pu and all thermal limits return to below 0.95 pu of rated capacity.",5240.183,5219.306,20.877,0.969,1.019,0.671,38.2,IEEE-30,SCN_DF_0035,none,N/A,N/A,T11,True,True,3,3.67,True,0.0,0.0,0.41,0.437,0.83,True,88.4,False,none,0.78,physics-constrained synthetic generation,2024-01-01
DF_0036,demand_forecasting,train,multi_step,hard,What is the least-cost unit commitment for 2962 MW peak demand with 70% renewable penetration on 22 Jun 2023?,"The least-cost unit commitment for 2961.9 MW with 70% renewables commits 2 CCGT units at 1617 MW each, one hydro unit at 249 MW, and all available renewables at 719.4 MW. Total commitment cost is 181493 USD/hour. N-1 security is confirmed across all 186 monitored contingencies. Power balance is satisfied within the 2% tolerance.",2979.637,2961.866,17.771,0.958,1.02,0.545,24.8,IEEE-118,SCN_DF_0036,none,N/A,N/A,T12,True,True,3,4.0,True,0.0,0.0,0.36,0.524,0.835,True,86.7,False,none,0.8,physics-constrained synthetic generation,2024-01-01
DF_0037,demand_forecasting,train,factual,easy,What is the forecasted morning ramp demand for the Central control area on 10 Mar 2023?,"Morning ramp demand for Central on 10 Mar 2023 rises from 2638.0 MW at 06:00 to 3596.6 MW by 09:00, a ramp rate of 102.4 MW per 15-minute interval. Generation dispatch follows the economic merit order with 14.8% renewable contribution. Power balance is maintained within the 2% tolerance throughout the ramp period.",3618.219,3596.639,21.58,0.969,1.033,0.857,14.8,IEEE-118,SCN_DF_0037,none,N/A,N/A,T01,True,True,3,4.33,True,0.0,0.0,0.414,0.495,0.828,True,86.2,False,none,0.82,physics-constrained synthetic generation,2024-01-01
DF_0038,demand_forecasting,train,reasoning,medium,How does a 70% demand surge during a heat event affect system stability on 31 Oct 2023?,"A 70% unplanned demand surge raises system load to 4592.5 MW. Maximum line utilisation reaches 0.85 pu on the critical corridor, requiring re-dispatch of 358.9 MW from fast-response units within 10 minutes. Post re-dispatch voltage at the weakest bus recovers to 0.962 pu. Reserve margin is maintained at 10.6%.",4615.483,4592.52,22.963,0.962,1.016,0.847,49.2,IEEE-118,SCN_DF_0038,none,N/A,N/A,T02,True,True,3,4.67,True,0.0,0.0,0.351,0.479,0.831,True,91.4,False,none,0.78,physics-constrained synthetic generation,2024-01-01
DF_0039,demand_forecasting,train,multi_step,hard,"Given 42°C forecast and 70% renewable penetration on 9 Sep 2022, what is the optimal dispatch plan?",At 42°C with 70% renewable penetration the system faces 5199.2 MW demand and 1091.8 MW renewable supply. The 3893.5 MW residual is met by dispatchable thermal units in merit order. Re-dispatch reduces maximum line utilisation from 0.86 to 0.67 pu. Total generation cost is 397358 USD/hour at a marginal price of 79.3 USD/MWh.,5235.567,5199.173,36.394,0.965,1.033,0.86,21.9,IEEE-118,SCN_DF_0039,none,N/A,N/A,T03,True,True,3,3.0,True,0.0,0.0,0.32,0.53,0.823,True,88.7,False,none,0.84,physics-constrained synthetic generation,2024-01-01
DF_0040,demand_forecasting,train,factual,easy,What is the forecasted morning ramp demand for the Northeast control area on 14 Jul 2023?,"Morning ramp demand for Northeast on 14 Jul 2023 rises from 2172.0 MW at 06:00 to 3087.1 MW by 09:00, a ramp rate of 109.7 MW per 15-minute interval. Generation dispatch follows the economic merit order with 13.3% renewable contribution. Power balance is maintained within the 2% tolerance throughout the ramp period.",3108.718,3087.108,21.61,0.961,1.025,0.608,13.3,IEEE-118,SCN_DF_0040,none,N/A,N/A,T04,True,True,3,3.33,True,0.0,0.0,0.351,0.539,0.829,True,90.2,False,none,0.8,physics-constrained synthetic generation,2024-01-01
DF_0041,demand_forecasting,train,reasoning,medium,What demand response volume is needed if system load exceeds 3991 MW on 28 Nov 2023?,"If load reaches 3991.3 MW the operator activates 65.4 MW of Tier-1 interruptible industrial demand response. Combined with 596.7 MW of pre-positioned spinning reserve, system balance is restored within 5 minutes. Voltage at bus 89 recovers to 0.984 pu and all thermal limits return to below 0.95 pu of rated capacity.",4007.295,3991.33,15.965,0.984,1.025,0.67,28.6,IEEE-118,SCN_DF_0041,none,N/A,N/A,T05,True,True,3,4.0,True,0.0,0.0,0.384,0.539,0.837,True,87.7,False,none,0.76,physics-constrained synthetic generation,2024-01-01
DF_0042,demand_forecasting,train,multi_step,hard,What is the least-cost unit commitment for 2840 MW peak demand with 55% renewable penetration on 22 Jun 2023?,"The least-cost unit commitment for 2839.5 MW with 55% renewables commits 2 CCGT units at 1026 MW each, one hydro unit at 238 MW, and all available renewables at 1255.4 MW. Total commitment cost is 166305 USD/hour. N-1 security is confirmed across all 186 monitored contingencies. Power balance is satisfied within the 2% tolerance.",2850.87,2839.512,11.358,0.969,1.037,0.627,44.6,IEEE-14,SCN_DF_0042,none,N/A,N/A,T06,True,True,3,3.67,True,0.0,0.0,0.336,0.511,0.852,True,86.3,False,none,0.82,physics-constrained synthetic generation,2024-01-01
