doc_id,document_type,title,authors,publication_year,publisher,doi,primary_category,sub_category,keywords,abstract_snippet,page_count,language,access_type,citation_count,is_peer_reviewed,covers_physics_constraints,covers_llm_methods,covers_power_systems,covers_renewable_energy,covers_market_analysis,covers_anomaly_detection,relevance_score
KB_0011,grid_code,Study on grid operations topic 11: unit commitment approaches,"Author_11A, Author_11B",2018,IET,10.1109/PES.2018.742184,grid_operations,modeling,"unit commitment, frequency regulation, voltage stability, optimal power flow",This paper investigates unit commitment methods for grid operations applications with emphasis on frequency regulation techniques...,40,English,subscription,208,False,False,False,True,False,False,False,0.78
KB_0012,journal_article,Study on renewable energy topic 12: low-rank adaptation approaches,"Author_12A, Author_12B",2016,EPRI,10.1109/PES.2016.785450,renewable_energy,review,"GNN, inertia, SCADA, low-rank adaptation",This paper investigates GNN methods for renewable energy applications with emphasis on inertia techniques...,29,English,public,141,True,False,False,False,True,False,False,0.8
KB_0013,regulatory_document,Study on AI ML topic 13: large language model approaches,"Author_13A, Author_13B",2018,FERC,10.1109/PES.2018.878328,AI_ML,modeling,"inertia, large language model, unit commitment, GNN",This paper investigates inertia methods for AI ML applications with emphasis on large language model techniques...,12,English,subscription,128,False,False,True,False,False,False,False,0.65
KB_0014,ieee_standard,Study on energy policy topic 14: voltage stability approaches,"Author_14A, Author_14B",2015,FERC,10.1109/PES.2015.983613,energy_policy,control,"voltage stability, frequency regulation, inertia, renewable",This paper investigates voltage stability methods for energy policy applications with emphasis on frequency regulation techniques...,21,English,subscription,185,False,False,False,False,True,False,False,0.57
KB_0015,conference_paper,Study on AI ML topic 15: grid topology approaches,"Author_15A, Author_15B",2023,Elsevier,10.1109/PES.2023.941334,AI_ML,control,"inertia, voltage stability, grid topology, decision support",This paper investigates inertia methods for AI ML applications with emphasis on voltage stability techniques...,10,English,subscription,81,True,False,False,False,False,False,False,0.93
KB_0016,conference_paper,Study on energy policy topic 16: grid topology approaches,"Author_16A, Author_16B",2024,IEA,10.1109/PES.2024.264520,energy_policy,analysis,"voltage stability, decision support, grid topology, physics-informed",This paper investigates voltage stability methods for energy policy applications with emphasis on decision support techniques...,14,English,subscription,37,True,True,False,False,False,False,False,0.97
KB_0017,regulatory_document,Study on market design topic 17: renewable approaches,"Author_17A, Author_17B",2018,NERC,10.1109/PES.2018.296373,market_design,forecasting,"renewable, inertia, LoRA fine-tuning, optimal power flow",This paper investigates renewable methods for market design applications with emphasis on inertia techniques...,23,English,public,31,False,False,True,False,True,True,False,0.5
KB_0018,technical_report,Study on power systems topic 18: market clearing approaches,"Author_18A, Author_18B",2020,CAISO,10.1109/PES.2020.720976,power_systems,analysis,"grid topology, market clearing, anomaly detection, large language model",This paper investigates grid topology methods for power systems applications with emphasis on market clearing techniques...,20,English,subscription,236,False,False,True,True,False,False,True,0.67
KB_0019,grid_code,Study on grid operations topic 19: optimal power flow approaches,"Author_19A, Author_19B",2019,CIGRE,10.1109/PES.2019.934740,grid_operations,analysis,"optimal power flow, voltage stability, curtailment, decision support",This paper investigates optimal power flow methods for grid operations applications with emphasis on voltage stability techniques...,20,English,public,173,False,False,False,True,False,False,False,0.9
KB_0020,journal_article,Study on renewable energy topic 20: question answering approaches,"Author_20A, Author_20B",2023,IEA,10.1109/PES.2023.249333,renewable_energy,modeling,"LoRA fine-tuning, grid topology, frequency regulation, question answering",This paper investigates LoRA fine-tuning methods for renewable energy applications with emphasis on grid topology techniques...,8,English,public,227,True,False,True,False,True,False,False,0.66
KB_0021,regulatory_document,Study on energy policy topic 21: anomaly detection approaches,"Author_21A, Author_21B",2023,Elsevier,10.1109/PES.2023.121505,energy_policy,control,"anomaly detection, renewable, inertia, demand forecasting",This paper investigates anomaly detection methods for energy policy applications with emphasis on renewable techniques...,42,English,subscription,223,False,False,False,False,True,False,True,0.77
KB_0022,technical_report,Study on grid operations topic 22: optimal power flow approaches,"Author_22A, Author_22B",2022,IEA,10.1109/PES.2022.229854,grid_operations,control,"optimal power flow, voltage stability, decision support, large language model",This paper investigates optimal power flow methods for grid operations applications with emphasis on voltage stability techniques...,34,English,subscription,101,False,False,True,True,False,False,False,0.7
KB_0023,ieee_standard,Study on energy policy topic 23: physics-informed approaches,"Author_23A, Author_23B",2018,IEA,10.1109/PES.2018.883473,energy_policy,review,"LoRA fine-tuning, question answering, low-rank adaptation, physics-informed",This paper investigates LoRA fine-tuning methods for energy policy applications with emphasis on question answering techniques...,10,English,public,258,False,True,True,False,False,False,False,0.86
KB_0024,technical_report,Study on AI ML topic 24: power flow approaches,"Author_24A, Author_24B",2017,IET,10.1109/PES.2017.209053,AI_ML,analysis,"power flow, voltage stability, inertia, GNN",This paper investigates power flow methods for AI ML applications with emphasis on voltage stability techniques...,16,English,open_access,24,False,False,False,False,False,False,False,0.86
KB_0025,technical_report,Study on power systems topic 25: LoRA fine-tuning approaches,"Author_25A, Author_25B",2023,NERC,10.1109/PES.2023.247910,power_systems,analysis,"curtailment, LoRA fine-tuning, physics-informed, frequency regulation",This paper investigates curtailment methods for power systems applications with emphasis on LoRA fine-tuning techniques...,19,English,public,111,False,True,True,True,False,False,False,0.76
KB_0026,grid_code,Study on AI ML topic 26: inertia approaches,"Author_26A, Author_26B",2024,CIGRE,10.1109/PES.2024.434630,AI_ML,modeling,"multimodal learning, voltage stability, inertia, demand forecasting",This paper investigates multimodal learning methods for AI ML applications with emphasis on voltage stability techniques...,32,English,public,139,False,False,False,False,False,False,False,0.51
KB_0027,conference_paper,Study on renewable energy topic 27: frequency regulation approaches,"Author_27A, Author_27B",2023,FERC,10.1109/PES.2023.469089,renewable_energy,optimization,"low-rank adaptation, frequency regulation, market clearing, optimal power flow",This paper investigates low-rank adaptation methods for renewable energy applications with emphasis on frequency regulation techniques...,39,English,public,181,True,False,False,False,True,False,False,0.96
KB_0028,ieee_standard,Study on power systems topic 28: renewable approaches,"Author_28A, Author_28B",2023,IET,10.1109/PES.2023.645987,power_systems,forecasting,"physics-informed, question answering, renewable, demand forecasting",This paper investigates physics-informed methods for power systems applications with emphasis on question answering techniques...,24,English,public,86,False,True,False,True,True,False,False,0.8
KB_0029,ieee_standard,Study on energy policy topic 29: multimodal learning approaches,"Author_29A, Author_29B",2019,CAISO,10.1109/PES.2019.348633,energy_policy,analysis,"market clearing, multimodal learning, curtailment, power flow",This paper investigates market clearing methods for energy policy applications with emphasis on multimodal learning techniques...,11,English,public,189,False,False,False,False,False,False,False,0.88
KB_0030,conference_paper,Study on energy policy topic 30: GNN approaches,"Author_30A, Author_30B",2015,NERC,10.1109/PES.2015.755478,energy_policy,control,"low-rank adaptation, frequency regulation, GNN, unit commitment",This paper investigates low-rank adaptation methods for energy policy applications with emphasis on frequency regulation techniques...,38,English,public,1,True,False,False,False,False,False,False,0.98
KB_0031,grid_code,Study on renewable energy topic 31: decision support approaches,"Author_31A, Author_31B",2022,CIGRE,10.1109/PES.2022.877375,renewable_energy,optimization,"anomaly detection, curtailment, decision support, inertia",This paper investigates anomaly detection methods for renewable energy applications with emphasis on curtailment techniques...,16,English,subscription,186,False,False,False,False,True,False,True,0.64
KB_0032,technical_report,Study on AI ML topic 32: optimal power flow approaches,"Author_32A, Author_32B",2018,Elsevier,10.1109/PES.2018.617343,AI_ML,modeling,"optimal power flow, market clearing, anomaly detection, demand forecasting",This paper investigates optimal power flow methods for AI ML applications with emphasis on market clearing techniques...,43,English,public,132,False,False,False,False,False,False,True,0.79
KB_0033,ieee_standard,Study on renewable energy topic 33: inertia approaches,"Author_33A, Author_33B",2015,IEA,10.1109/PES.2015.210017,renewable_energy,optimization,"GNN, frequency regulation, optimal power flow, inertia",This paper investigates GNN methods for renewable energy applications with emphasis on frequency regulation techniques...,37,English,subscription,224,False,False,False,False,True,False,False,0.6
KB_0034,conference_paper,Study on market design topic 34: demand forecasting approaches,"Author_34A, Author_34B",2021,FERC,10.1109/PES.2021.665853,market_design,optimization,"GNN, demand forecasting, frequency regulation, physics-informed",This paper investigates GNN methods for market design applications with emphasis on demand forecasting techniques...,33,English,open_access,161,True,True,False,False,False,True,False,0.66
KB_0035,journal_article,Study on market design topic 35: optimal power flow approaches,"Author_35A, Author_35B",2023,IEA,10.1109/PES.2023.116894,market_design,forecasting,"optimal power flow, multimodal learning, unit commitment, LoRA fine-tuning",This paper investigates optimal power flow methods for market design applications with emphasis on multimodal learning techniques...,10,English,subscription,158,True,False,True,False,False,True,False,0.74
KB_0036,grid_code,Study on AI ML topic 36: market clearing approaches,"Author_36A, Author_36B",2015,Elsevier,10.1109/PES.2015.372697,AI_ML,modeling,"curtailment, renewable, inertia, market clearing",This paper investigates curtailment methods for AI ML applications with emphasis on renewable techniques...,18,English,open_access,17,False,False,False,False,True,False,False,0.75
KB_0037,technical_report,Study on renewable energy topic 37: market clearing approaches,"Author_37A, Author_37B",2018,CIGRE,10.1109/PES.2018.331708,renewable_energy,review,"inertia, physics-informed, market clearing, SCADA",This paper investigates inertia methods for renewable energy applications with emphasis on physics-informed techniques...,34,English,open_access,155,False,True,False,False,True,False,False,0.71
KB_0038,regulatory_document,Study on market design topic 38: voltage stability approaches,"Author_38A, Author_38B",2024,IEA,10.1109/PES.2024.696446,market_design,modeling,"curtailment, voltage stability, question answering, large language model",This paper investigates curtailment methods for market design applications with emphasis on voltage stability techniques...,20,English,open_access,184,False,False,True,False,False,True,False,0.81
KB_0039,technical_report,Study on market design topic 39: multimodal learning approaches,"Author_39A, Author_39B",2021,IEA,10.1109/PES.2021.858224,market_design,review,"curtailment, question answering, multimodal learning, decision support",This paper investigates curtailment methods for market design applications with emphasis on question answering techniques...,35,English,open_access,44,False,False,False,False,False,True,False,0.9
KB_0040,journal_article,Study on grid operations topic 40: multimodal learning approaches,"Author_40A, Author_40B",2020,CIGRE,10.1109/PES.2020.580040,grid_operations,optimization,"multimodal learning, anomaly detection, frequency regulation, renewable",This paper investigates multimodal learning methods for grid operations applications with emphasis on anomaly detection techniques...,17,English,open_access,231,True,False,False,True,True,False,True,0.93
KB_0041,ieee_standard,Study on grid operations topic 41: LoRA fine-tuning approaches,"Author_41A, Author_41B",2023,ENTSO-E,10.1109/PES.2023.624593,grid_operations,control,"grid topology, LoRA fine-tuning, power flow, decision support",This paper investigates grid topology methods for grid operations applications with emphasis on LoRA fine-tuning techniques...,31,English,open_access,28,False,False,True,True,False,False,False,0.96
KB_0042,grid_code,Study on grid operations topic 42: low-rank adaptation approaches,"Author_42A, Author_42B",2018,ENTSO-E,10.1109/PES.2018.285376,grid_operations,forecasting,"low-rank adaptation, grid topology, power flow, physics-informed",This paper investigates low-rank adaptation methods for grid operations applications with emphasis on grid topology techniques...,32,English,open_access,143,False,True,False,True,False,False,False,0.6
KB_0043,ieee_standard,Study on grid operations topic 43: renewable approaches,"Author_43A, Author_43B",2020,IEEE,10.1109/PES.2020.623463,grid_operations,modeling,"GNN, renewable, optimal power flow, multimodal learning",This paper investigates GNN methods for grid operations applications with emphasis on renewable techniques...,16,English,public,250,False,False,False,True,True,False,False,0.97
KB_0044,regulatory_document,Study on grid operations topic 44: curtailment approaches,"Author_44A, Author_44B",2019,FERC,10.1109/PES.2019.499576,grid_operations,forecasting,"curtailment, demand forecasting, frequency regulation, renewable",This paper investigates curtailment methods for grid operations applications with emphasis on demand forecasting techniques...,22,English,open_access,163,False,False,False,True,True,False,False,0.59
KB_0045,regulatory_document,Study on AI ML topic 45: low-rank adaptation approaches,"Author_45A, Author_45B",2016,DOE,10.1109/PES.2016.710763,AI_ML,modeling,"low-rank adaptation, voltage stability, renewable, power flow",This paper investigates low-rank adaptation methods for AI ML applications with emphasis on voltage stability techniques...,28,English,subscription,53,False,False,False,False,True,False,False,0.79
KB_0046,technical_report,Study on renewable energy topic 46: physics-informed approaches,"Author_46A, Author_46B",2016,NERC,10.1109/PES.2016.836003,renewable_energy,review,"voltage stability, inertia, physics-informed, power flow",This paper investigates voltage stability methods for renewable energy applications with emphasis on inertia techniques...,13,English,public,51,False,True,False,False,True,False,False,0.73
KB_0047,technical_report,Study on renewable energy topic 47: unit commitment approaches,"Author_47A, Author_47B",2018,IET,10.1109/PES.2018.241809,renewable_energy,forecasting,"unit commitment, demand forecasting, inertia, optimal power flow",This paper investigates unit commitment methods for renewable energy applications with emphasis on demand forecasting techniques...,10,English,public,214,False,False,False,False,True,False,False,0.7
KB_0048,grid_code,Study on market design topic 48: power flow approaches,"Author_48A, Author_48B",2018,DOE,10.1109/PES.2018.147315,market_design,optimization,"LoRA fine-tuning, unit commitment, anomaly detection, power flow",This paper investigates LoRA fine-tuning methods for market design applications with emphasis on unit commitment techniques...,22,English,public,129,False,False,True,False,False,True,True,0.75
KB_0049,ieee_standard,Study on market design topic 49: frequency regulation approaches,"Author_49A, Author_49B",2021,EPRI,10.1109/PES.2021.428147,market_design,optimization,"power flow, LoRA fine-tuning, frequency regulation, optimal power flow",This paper investigates power flow methods for market design applications with emphasis on LoRA fine-tuning techniques...,44,English,open_access,212,False,False,True,False,False,True,False,0.52
KB_0050,ieee_standard,Study on AI ML topic 50: GNN approaches,"Author_50A, Author_50B",2016,Elsevier,10.1109/PES.2016.491275,AI_ML,control,"curtailment, decision support, GNN, inertia",This paper investigates curtailment methods for AI ML applications with emphasis on decision support techniques...,41,English,subscription,136,False,False,False,False,False,False,False,0.76
KB_0051,regulatory_document,Study on renewable energy topic 51: GNN approaches,"Author_51A, Author_51B",2021,EPRI,10.1109/PES.2021.157991,renewable_energy,review,"demand forecasting, LoRA fine-tuning, grid topology, GNN",This paper investigates demand forecasting methods for renewable energy applications with emphasis on LoRA fine-tuning techniques...,41,English,open_access,195,False,False,True,False,True,False,False,0.81
KB_0052,technical_report,Study on AI ML topic 52: optimal power flow approaches,"Author_52A, Author_52B",2023,FERC,10.1109/PES.2023.790000,AI_ML,analysis,"unit commitment, anomaly detection, optimal power flow, renewable",This paper investigates unit commitment methods for AI ML applications with emphasis on anomaly detection techniques...,29,English,public,14,False,False,False,False,True,False,True,0.62
KB_0053,conference_paper,Study on market design topic 53: LoRA fine-tuning approaches,"Author_53A, Author_53B",2016,IEEE,10.1109/PES.2016.137966,market_design,forecasting,"multimodal learning, LoRA fine-tuning, inertia, anomaly detection",This paper investigates multimodal learning methods for market design applications with emphasis on LoRA fine-tuning techniques...,21,English,public,97,True,False,True,False,False,True,True,0.73
KB_0054,journal_article,Study on market design topic 54: voltage stability approaches,"Author_54A, Author_54B",2019,IEEE,10.1109/PES.2019.746159,market_design,forecasting,"multimodal learning, LoRA fine-tuning, anomaly detection, voltage stability",This paper investigates multimodal learning methods for market design applications with emphasis on LoRA fine-tuning techniques...,28,English,open_access,104,True,False,True,False,False,True,True,0.97
KB_0055,conference_paper,Study on AI ML topic 55: multimodal learning approaches,"Author_55A, Author_55B",2022,FERC,10.1109/PES.2022.942183,AI_ML,analysis,"multimodal learning, question answering, anomaly detection, market clearing",This paper investigates multimodal learning methods for AI ML applications with emphasis on question answering techniques...,16,English,open_access,266,True,False,False,False,False,False,True,0.72
KB_0056,grid_code,Study on energy policy topic 56: anomaly detection approaches,"Author_56A, Author_56B",2015,Springer,10.1109/PES.2015.119766,energy_policy,control,"LoRA fine-tuning, SCADA, anomaly detection, demand forecasting",This paper investigates LoRA fine-tuning methods for energy policy applications with emphasis on SCADA techniques...,22,English,subscription,120,False,False,True,False,False,False,True,0.65
KB_0057,technical_report,Study on energy policy topic 57: inertia approaches,"Author_57A, Author_57B",2023,NERC,10.1109/PES.2023.261902,energy_policy,modeling,"large language model, inertia, renewable, GNN",This paper investigates large language model methods for energy policy applications with emphasis on inertia techniques...,37,English,public,192,False,False,True,False,True,False,False,0.76
KB_0058,ieee_standard,Study on energy policy topic 58: anomaly detection approaches,"Author_58A, Author_58B",2024,DOE,10.1109/PES.2024.261681,energy_policy,optimization,"anomaly detection, power flow, low-rank adaptation, renewable",This paper investigates anomaly detection methods for energy policy applications with emphasis on power flow techniques...,31,English,open_access,10,False,False,False,False,True,False,True,0.67
KB_0059,conference_paper,Study on energy policy topic 59: question answering approaches,"Author_59A, Author_59B",2020,IEA,10.1109/PES.2020.726954,energy_policy,control,"GNN, multimodal learning, decision support, question answering",This paper investigates GNN methods for energy policy applications with emphasis on multimodal learning techniques...,16,English,subscription,253,True,False,False,False,False,False,False,0.83
KB_0060,regulatory_document,Study on AI ML topic 60: market clearing approaches,"Author_60A, Author_60B",2016,IEA,10.1109/PES.2016.856749,AI_ML,control,"market clearing, voltage stability, large language model, anomaly detection",This paper investigates market clearing methods for AI ML applications with emphasis on voltage stability techniques...,13,English,open_access,79,False,False,True,False,False,False,True,0.85
KB_0061,conference_paper,Study on power systems topic 61: power flow approaches,"Author_61A, Author_61B",2016,Springer,10.1109/PES.2016.827593,power_systems,forecasting,"LoRA fine-tuning, power flow, question answering, voltage stability",This paper investigates LoRA fine-tuning methods for power systems applications with emphasis on power flow techniques...,21,English,subscription,41,True,False,True,True,False,False,False,0.98
KB_0062,conference_paper,Study on power systems topic 62: inertia approaches,"Author_62A, Author_62B",2018,IEA,10.1109/PES.2018.921673,power_systems,optimization,"inertia, grid topology, demand forecasting, physics-informed",This paper investigates inertia methods for power systems applications with emphasis on grid topology techniques...,29,English,public,127,True,True,False,True,False,False,False,0.79
KB_0063,technical_report,Study on power systems topic 63: market clearing approaches,"Author_63A, Author_63B",2015,ENTSO-E,10.1109/PES.2015.754908,power_systems,forecasting,"market clearing, demand forecasting, unit commitment, curtailment",This paper investigates market clearing methods for power systems applications with emphasis on demand forecasting techniques...,12,English,public,121,False,False,False,True,False,False,False,0.7
KB_0064,conference_paper,Study on grid operations topic 64: question answering approaches,"Author_64A, Author_64B",2024,EPRI,10.1109/PES.2024.989076,grid_operations,control,"frequency regulation, question answering, large language model, LoRA fine-tuning",This paper investigates frequency regulation methods for grid operations applications with emphasis on question answering techniques...,11,English,subscription,163,True,False,True,True,False,False,False,0.75
KB_0065,journal_article,Study on AI ML topic 65: market clearing approaches,"Author_65A, Author_65B",2016,IET,10.1109/PES.2016.998212,AI_ML,review,"market clearing, frequency regulation, voltage stability, renewable",This paper investigates market clearing methods for AI ML applications with emphasis on frequency regulation techniques...,35,English,public,0,True,False,False,False,True,False,False,0.79
KB_0066,conference_paper,Study on energy policy topic 66: low-rank adaptation approaches,"Author_66A, Author_66B",2023,IET,10.1109/PES.2023.727956,energy_policy,optimization,"GNN, large language model, low-rank adaptation, SCADA",This paper investigates GNN methods for energy policy applications with emphasis on large language model techniques...,25,English,subscription,233,True,False,True,False,False,False,False,0.86
KB_0067,ieee_standard,Study on market design topic 67: physics-informed approaches,"Author_67A, Author_67B",2019,ENTSO-E,10.1109/PES.2019.748423,market_design,forecasting,"frequency regulation, large language model, power flow, physics-informed",This paper investigates frequency regulation methods for market design applications with emphasis on large language model techniques...,30,English,public,2,False,True,True,False,False,True,False,0.74
KB_0068,journal_article,Study on energy policy topic 68: multimodal learning approaches,"Author_68A, Author_68B",2015,CAISO,10.1109/PES.2015.535403,energy_policy,analysis,"voltage stability, physics-informed, multimodal learning, anomaly detection",This paper investigates voltage stability methods for energy policy applications with emphasis on physics-informed techniques...,24,English,public,251,True,True,False,False,False,False,True,0.57
KB_0069,ieee_standard,Study on energy policy topic 69: decision support approaches,"Author_69A, Author_69B",2020,Springer,10.1109/PES.2020.309798,energy_policy,control,"inertia, demand forecasting, renewable, decision support",This paper investigates inertia methods for energy policy applications with emphasis on demand forecasting techniques...,39,English,open_access,77,False,False,False,False,True,False,False,0.68
KB_0070,journal_article,Study on renewable energy topic 70: question answering approaches,"Author_70A, Author_70B",2021,EPRI,10.1109/PES.2021.817987,renewable_energy,analysis,"grid topology, GNN, anomaly detection, question answering",This paper investigates grid topology methods for renewable energy applications with emphasis on GNN techniques...,33,English,subscription,125,True,False,False,False,True,False,True,0.51
KB_0071,technical_report,Study on renewable energy topic 71: inertia approaches,"Author_71A, Author_71B",2016,IEEE,10.1109/PES.2016.627132,renewable_energy,forecasting,"physics-informed, curtailment, GNN, inertia",This paper investigates physics-informed methods for renewable energy applications with emphasis on curtailment techniques...,20,English,open_access,222,False,True,False,False,True,False,False,0.58
KB_0072,journal_article,Study on grid operations topic 72: physics-informed approaches,"Author_72A, Author_72B",2022,ENTSO-E,10.1109/PES.2022.448857,grid_operations,analysis,"physics-informed, SCADA, voltage stability, question answering",This paper investigates physics-informed methods for grid operations applications with emphasis on SCADA techniques...,22,English,subscription,133,True,True,False,True,False,False,False,0.94
KB_0073,technical_report,Study on power systems topic 73: GNN approaches,"Author_73A, Author_73B",2018,Springer,10.1109/PES.2018.183700,power_systems,review,"inertia, LoRA fine-tuning, GNN, frequency regulation",This paper investigates inertia methods for power systems applications with emphasis on LoRA fine-tuning techniques...,22,English,public,233,False,False,True,True,False,False,False,0.54
KB_0074,conference_paper,Study on power systems topic 74: GNN approaches,"Author_74A, Author_74B",2023,IET,10.1109/PES.2023.346115,power_systems,modeling,"physics-informed, decision support, GNN, grid topology",This paper investigates physics-informed methods for power systems applications with emphasis on decision support techniques...,31,English,public,142,True,True,False,True,False,False,False,0.71
KB_0075,regulatory_document,Study on renewable energy topic 75: grid topology approaches,"Author_75A, Author_75B",2016,ENTSO-E,10.1109/PES.2016.971342,renewable_energy,analysis,"low-rank adaptation, voltage stability, question answering, grid topology",This paper investigates low-rank adaptation methods for renewable energy applications with emphasis on voltage stability techniques...,33,English,public,21,False,False,False,False,True,False,False,0.77
KB_0076,journal_article,Study on grid operations topic 76: demand forecasting approaches,"Author_76A, Author_76B",2023,IET,10.1109/PES.2023.664999,grid_operations,analysis,"demand forecasting, SCADA, grid topology, multimodal learning",This paper investigates demand forecasting methods for grid operations applications with emphasis on SCADA techniques...,29,English,open_access,194,True,False,False,True,False,False,False,0.89
KB_0077,journal_article,Study on renewable energy topic 77: anomaly detection approaches,"Author_77A, Author_77B",2020,NERC,10.1109/PES.2020.527172,renewable_energy,modeling,"market clearing, LoRA fine-tuning, optimal power flow, anomaly detection",This paper investigates market clearing methods for renewable energy applications with emphasis on LoRA fine-tuning techniques...,27,English,open_access,124,True,False,True,False,True,False,True,0.92
KB_0078,conference_paper,Study on power systems topic 78: low-rank adaptation approaches,"Author_78A, Author_78B",2021,Elsevier,10.1109/PES.2021.837275,power_systems,forecasting,"optimal power flow, demand forecasting, low-rank adaptation, grid topology",This paper investigates optimal power flow methods for power systems applications with emphasis on demand forecasting techniques...,27,English,public,115,True,False,False,True,False,False,False,0.81
KB_0079,journal_article,Study on grid operations topic 79: GNN approaches,"Author_79A, Author_79B",2019,ENTSO-E,10.1109/PES.2019.626264,grid_operations,analysis,"grid topology, GNN, renewable, multimodal learning",This paper investigates grid topology methods for grid operations applications with emphasis on GNN techniques...,33,English,subscription,77,True,False,False,True,True,False,False,0.96
KB_0080,grid_code,Study on power systems topic 80: low-rank adaptation approaches,"Author_80A, Author_80B",2024,EPRI,10.1109/PES.2024.322674,power_systems,forecasting,"large language model, renewable, inertia, low-rank adaptation",This paper investigates large language model methods for power systems applications with emphasis on renewable techniques...,38,English,subscription,152,False,False,True,True,True,False,False,0.81
KB_0081,journal_article,Study on grid operations topic 81: voltage stability approaches,"Author_81A, Author_81B",2022,IEEE,10.1109/PES.2022.530968,grid_operations,modeling,"power flow, inertia, GNN, voltage stability",This paper investigates power flow methods for grid operations applications with emphasis on inertia techniques...,15,English,subscription,0,True,False,False,True,False,False,False,0.61
KB_0082,grid_code,Study on energy policy topic 82: renewable approaches,"Author_82A, Author_82B",2021,Elsevier,10.1109/PES.2021.760944,energy_policy,analysis,"multimodal learning, market clearing, renewable, decision support",This paper investigates multimodal learning methods for energy policy applications with emphasis on market clearing techniques...,38,English,public,49,False,False,False,False,True,False,False,0.61
KB_0083,conference_paper,Study on grid operations topic 83: frequency regulation approaches,"Author_83A, Author_83B",2022,ENTSO-E,10.1109/PES.2022.247845,grid_operations,control,"power flow, inertia, frequency regulation, anomaly detection",This paper investigates power flow methods for grid operations applications with emphasis on inertia techniques...,37,English,public,253,True,False,False,True,False,False,True,0.7
