sample_id,category,split,question_type,difficulty,question,ground_truth_answer,p_gen_MW,p_load_MW,p_loss_MW,v_min_pu,v_max_pu,u_line_pu,renewable_penetration_pct,bus_system,scenario_id,fault_type,fault_bus,fault_severity,template_id,human_authored,expert_validated,n_expert_reviewers,expert_mean_score,physics_valid,power_balance_error_MW,power_balance_pct,bleu_score,rouge_l,bertscore,physics_compliant_prediction,numerical_accuracy_pct,hallucination_flag,hallucination_category,inter_rater_kappa,data_generation_method,creation_date
RI_0011,renewable_integration,train,reasoning,medium,What curtailment is needed to prevent voltage violations at 40% renewable penetration?,"At 40% penetration, voltage rise at remote generation buses exceeds 1.05 pu at 6 locations. Required curtailment: 422.1 MW solar at buses 87 and 89, and 337.7 MW wind at buses 91 and 22. Post-curtailment maximum voltage is 1.045 pu. Curtailment opportunity cost at 29.2 USD/MWh is 273237 USD/hour.",3933.553,3913.983,19.57,0.982,1.045,0.716,67.8,IEEE-118,SCN_RI_0011,none,N/A,N/A,T11,True,True,3,4.0,True,0.0,0.0,0.371,0.462,0.823,True,89.9,False,none,0.77,physics-constrained synthetic generation,2024-01-01
RI_0012,renewable_integration,train,multi_step,hard,What storage capacity firms a 297 MW wind farm to within ±5% of rated output?,Firming 297 MW wind to ±5% (±15 MW) requires 107 MW / 428 MWh of battery storage based on historical variability profiles. Minimum state of charge must remain above 20% to cover worst-case 4-hour low-wind periods. Estimated capital cost is 150 million USD at current storage prices. Power balance and voltage constraints are satisfied throughout the dispatch horizon.,3202.704,3186.77,15.934,0.96,1.026,0.702,45.4,IEEE-118,SCN_RI_0012,none,N/A,N/A,T12,True,True,3,3.0,True,0.0,0.0,0.389,0.443,0.823,True,90.9,False,none,0.82,physics-constrained synthetic generation,2024-01-01
RI_0013,renewable_integration,train,factual,easy,What is the current renewable penetration level and its impact on system inertia?,"Instantaneous renewable penetration is 35.0% — wind 2486.8 MW, solar 1524.2 MW — out of 5158.4 MW total system load. System inertia has fallen to 7.0 GW-s from the conventional 8.1 GW-s baseline, requiring 527.3 MW of synthetic inertia from grid-forming inverters to meet the ROCOF limit.",5189.344,5158.394,30.95,0.963,1.034,0.67,77.1,IEEE-118,SCN_RI_0013,none,N/A,N/A,T01,True,True,3,4.0,True,0.0,0.0,0.361,0.538,0.845,True,88.4,False,none,0.77,physics-constrained synthetic generation,2024-01-01
RI_0014,renewable_integration,train,reasoning,medium,How should the operator manage a 140 MW wind ramp-down under 25% renewable penetration?,A 140 MW wind ramp-down at 25% penetration requires coordinated four-stage response: (1) fast frequency response from battery storage — 52 MW within 1 s; (2) governor droop from thermal units — 35 MW within 10 s; (3) demand response — 28 MW within 5 min; (4) CCGT start-up — 17 MW within 15 min. Frequency nadir is 59.62 Hz — above the 59.3 Hz UFLS threshold. Voltage at all buses remains within 0.95–1.05 pu.,2447.586,2432.988,14.598,0.966,1.035,0.668,68.0,IEEE-118,SCN_RI_0014,none,N/A,N/A,T02,True,True,3,4.33,True,0.0,0.0,0.316,0.519,0.843,True,86.1,False,none,0.76,physics-constrained synthetic generation,2024-01-01
RI_0015,renewable_integration,train,multi_step,hard,What storage capacity firms a 233 MW wind farm to within ±5% of rated output?,Firming 233 MW wind to ±5% (±12 MW) requires 84 MW / 336 MWh of battery storage based on historical variability profiles. Minimum state of charge must remain above 20% to cover worst-case 4-hour low-wind periods. Estimated capital cost is 118 million USD at current storage prices. Power balance and voltage constraints are satisfied throughout the dispatch horizon.,2068.703,2060.461,8.242,0.98,1.011,0.752,78.2,IEEE-118,SCN_RI_0015,none,N/A,N/A,T03,True,True,3,4.67,True,0.0,0.0,0.323,0.455,0.839,True,89.4,False,none,0.78,physics-constrained synthetic generation,2024-01-01
RI_0016,renewable_integration,train,factual,easy,What is the wind fleet ramp capability under current meteorological conditions?,"Wind fleet upward ramp capability is 138.1 MW per 15-minute interval based on current wind gradient measurements. Maximum observed 15-minute ramp over the past 30 days was 121.6 MW, providing 10.1% headroom. Voltage at wind-connected buses is within 0.95–1.05 pu.",2945.137,2933.403,11.734,0.972,1.002,0.759,68.3,IEEE-118,SCN_RI_0016,none,N/A,N/A,T04,True,True,3,4.0,True,0.0,0.0,0.406,0.426,0.822,True,89.4,False,none,0.81,physics-constrained synthetic generation,2024-01-01
RI_0017,renewable_integration,train,reasoning,medium,What curtailment is needed to prevent voltage violations at 15% renewable penetration?,"At 15% penetration, voltage rise at remote generation buses exceeds 1.05 pu at 12 locations. Required curtailment: 449.7 MW solar at buses 87 and 89, and 359.8 MW wind at buses 91 and 22. Post-curtailment maximum voltage is 1.038 pu. Curtailment opportunity cost at 20.3 USD/MWh is 346513 USD/hour.",4806.151,4777.486,28.665,0.975,1.038,0.865,63.4,IEEE-118,SCN_RI_0017,none,N/A,N/A,T05,True,True,3,4.0,True,0.0,0.0,0.327,0.503,0.852,True,93.0,False,none,0.74,physics-constrained synthetic generation,2024-01-01
RI_0018,renewable_integration,train,multi_step,hard,What storage capacity firms a 517 MW wind farm to within ±5% of rated output?,Firming 517 MW wind to ±5% (±26 MW) requires 186 MW / 744 MWh of battery storage based on historical variability profiles. Minimum state of charge must remain above 20% to cover worst-case 4-hour low-wind periods. Estimated capital cost is 260 million USD at current storage prices. Power balance and voltage constraints are satisfied throughout the dispatch horizon.,5123.639,5093.081,30.558,0.975,1.047,0.713,37.6,IEEE-14,SCN_RI_0018,none,N/A,N/A,T06,True,True,3,4.33,True,0.0,0.0,0.336,0.447,0.857,True,91.4,False,none,0.76,physics-constrained synthetic generation,2024-01-01
RI_0019,renewable_integration,train,factual,easy,What is the wind fleet ramp capability under current meteorological conditions?,"Wind fleet upward ramp capability is 285.3 MW per 15-minute interval based on current wind gradient measurements. Maximum observed 15-minute ramp over the past 30 days was 251.1 MW, providing 13.7% headroom. Voltage at wind-connected buses is within 0.95–1.05 pu.",3034.615,3016.516,18.099,0.963,1.015,0.76,33.7,IEEE-118,SCN_RI_0019,none,N/A,N/A,T07,True,True,3,3.67,True,0.0,0.0,0.337,0.455,0.854,True,92.7,False,none,0.76,physics-constrained synthetic generation,2024-01-01
RI_0020,renewable_integration,train,reasoning,medium,How should the operator manage a 398 MW wind ramp-down under 50% renewable penetration?,A 398 MW wind ramp-down at 50% penetration requires coordinated four-stage response: (1) fast frequency response from battery storage — 149 MW within 1 s; (2) governor droop from thermal units — 100 MW within 10 s; (3) demand response — 80 MW within 5 min; (4) CCGT start-up — 50 MW within 15 min. Frequency nadir is 59.51 Hz — above the 59.3 Hz UFLS threshold. Voltage at all buses remains within 0.95–1.05 pu.,3561.126,3536.371,24.755,0.957,1.024,0.692,30.3,IEEE-30,SCN_RI_0020,none,N/A,N/A,T08,True,True,3,4.33,True,0.0,0.0,0.332,0.446,0.823,True,92.1,False,none,0.8,physics-constrained synthetic generation,2024-01-01
RI_0021,renewable_integration,train,multi_step,hard,What storage capacity firms a 215 MW wind farm to within ±5% of rated output?,Firming 215 MW wind to ±5% (±11 MW) requires 77 MW / 309 MWh of battery storage based on historical variability profiles. Minimum state of charge must remain above 20% to cover worst-case 4-hour low-wind periods. Estimated capital cost is 108 million USD at current storage prices. Power balance and voltage constraints are satisfied throughout the dispatch horizon.,2559.8,2542.006,17.794,0.973,1.018,0.681,69.1,IEEE-118,SCN_RI_0021,none,N/A,N/A,T09,True,True,3,4.0,True,0.0,0.0,0.399,0.529,0.844,True,92.3,False,none,0.77,physics-constrained synthetic generation,2024-01-01
RI_0022,renewable_integration,train,factual,easy,What is the wind fleet ramp capability under current meteorological conditions?,"Wind fleet upward ramp capability is 190.8 MW per 15-minute interval based on current wind gradient measurements. Maximum observed 15-minute ramp over the past 30 days was 167.9 MW, providing 12.4% headroom. Voltage at wind-connected buses is within 0.95–1.05 pu.",3231.647,3215.569,16.078,0.958,1.0,0.787,70.3,IEEE-30,SCN_RI_0022,none,N/A,N/A,T10,True,True,3,4.33,True,0.0,0.0,0.389,0.476,0.858,True,93.4,False,none,0.76,physics-constrained synthetic generation,2024-01-01
RI_0023,renewable_integration,train,reasoning,medium,What curtailment is needed to prevent voltage violations at 15% renewable penetration?,"At 15% penetration, voltage rise at remote generation buses exceeds 1.05 pu at 8 locations. Required curtailment: 504.8 MW solar at buses 87 and 89, and 403.9 MW wind at buses 91 and 22. Post-curtailment maximum voltage is 1.034 pu. Curtailment opportunity cost at 28.5 USD/MWh is 420470 USD/hour.",5586.802,5553.481,33.321,0.977,1.034,0.74,44.4,IEEE-118,SCN_RI_0023,none,N/A,N/A,T11,True,True,3,4.67,True,0.0,0.0,0.413,0.486,0.823,True,89.2,False,none,0.74,physics-constrained synthetic generation,2024-01-01
RI_0024,renewable_integration,train,multi_step,hard,What storage capacity firms a 526 MW wind farm to within ±5% of rated output?,Firming 526 MW wind to ±5% (±26 MW) requires 190 MW / 758 MWh of battery storage based on historical variability profiles. Minimum state of charge must remain above 20% to cover worst-case 4-hour low-wind periods. Estimated capital cost is 265 million USD at current storage prices. Power balance and voltage constraints are satisfied throughout the dispatch horizon.,5188.555,5152.488,36.067,0.969,1.029,0.637,76.7,IEEE-118,SCN_RI_0024,none,N/A,N/A,T12,True,True,3,4.33,True,0.0,0.0,0.359,0.504,0.852,True,89.7,False,none,0.78,physics-constrained synthetic generation,2024-01-01
RI_0025,renewable_integration,train,factual,easy,What is the wind fleet ramp capability under current meteorological conditions?,"Wind fleet upward ramp capability is 257.0 MW per 15-minute interval based on current wind gradient measurements. Maximum observed 15-minute ramp over the past 30 days was 226.2 MW, providing 8.2% headroom. Voltage at wind-connected buses is within 0.95–1.05 pu.",2184.526,2169.341,15.185,0.973,1.022,0.87,74.0,IEEE-118,SCN_RI_0025,none,N/A,N/A,T01,True,True,3,4.0,True,0.0,0.0,0.361,0.493,0.846,True,93.2,False,none,0.76,physics-constrained synthetic generation,2024-01-01
RI_0026,renewable_integration,train,reasoning,medium,What curtailment is needed to prevent voltage violations at 55% renewable penetration?,"At 55% penetration, voltage rise at remote generation buses exceeds 1.05 pu at 12 locations. Required curtailment: 279.4 MW solar at buses 87 and 89, and 223.5 MW wind at buses 91 and 22. Post-curtailment maximum voltage is 1.024 pu. Curtailment opportunity cost at 25.1 USD/MWh is 210495 USD/hour.",3126.387,3104.654,21.733,0.959,1.024,0.594,36.3,IEEE-118,SCN_RI_0026,none,N/A,N/A,T02,True,True,3,3.67,True,0.0,0.0,0.332,0.528,0.851,True,85.9,False,none,0.79,physics-constrained synthetic generation,2024-01-01
RI_0027,renewable_integration,train,multi_step,hard,What storage capacity firms a 92 MW wind farm to within ±5% of rated output?,Firming 92 MW wind to ±5% (±5 MW) requires 33 MW / 132 MWh of battery storage based on historical variability profiles. Minimum state of charge must remain above 20% to cover worst-case 4-hour low-wind periods. Estimated capital cost is 46 million USD at current storage prices. Power balance and voltage constraints are satisfied throughout the dispatch horizon.,2191.448,2180.545,10.903,0.979,1.023,0.766,39.9,IEEE-30,SCN_RI_0027,none,N/A,N/A,T03,True,True,3,3.67,True,0.0,0.0,0.402,0.423,0.835,True,93.4,False,none,0.79,physics-constrained synthetic generation,2024-01-01
RI_0028,renewable_integration,train,factual,easy,What is the wind fleet ramp capability under current meteorological conditions?,"Wind fleet upward ramp capability is 311.6 MW per 15-minute interval based on current wind gradient measurements. Maximum observed 15-minute ramp over the past 30 days was 274.2 MW, providing 7.6% headroom. Voltage at wind-connected buses is within 0.95–1.05 pu.",3020.937,3002.919,18.018,0.975,1.033,0.907,44.4,IEEE-118,SCN_RI_0028,none,N/A,N/A,T04,True,True,3,4.0,True,0.0,0.0,0.378,0.528,0.852,True,89.7,False,none,0.84,physics-constrained synthetic generation,2024-01-01
RI_0029,renewable_integration,train,reasoning,medium,How should the operator manage a 246 MW wind ramp-down under 25% renewable penetration?,A 246 MW wind ramp-down at 25% penetration requires coordinated four-stage response: (1) fast frequency response from battery storage — 92 MW within 1 s; (2) governor droop from thermal units — 62 MW within 10 s; (3) demand response — 49 MW within 5 min; (4) CCGT start-up — 31 MW within 15 min. Frequency nadir is 59.44 Hz — above the 59.3 Hz UFLS threshold. Voltage at all buses remains within 0.95–1.05 pu.,3858.869,3839.671,19.198,0.983,1.031,0.799,78.8,IEEE-118,SCN_RI_0029,none,N/A,N/A,T05,True,True,3,3.33,True,0.0,0.0,0.396,0.52,0.838,True,92.2,False,none,0.79,physics-constrained synthetic generation,2024-01-01
RI_0030,renewable_integration,train,multi_step,hard,What storage capacity firms a 244 MW wind farm to within ±5% of rated output?,Firming 244 MW wind to ±5% (±12 MW) requires 88 MW / 351 MWh of battery storage based on historical variability profiles. Minimum state of charge must remain above 20% to cover worst-case 4-hour low-wind periods. Estimated capital cost is 123 million USD at current storage prices. Power balance and voltage constraints are satisfied throughout the dispatch horizon.,5368.621,5331.302,37.319,0.988,1.009,0.82,34.0,IEEE-30,SCN_RI_0030,none,N/A,N/A,T06,True,True,3,4.0,True,0.0,0.0,0.336,0.471,0.855,True,90.4,False,none,0.81,physics-constrained synthetic generation,2024-01-01
RI_0031,renewable_integration,train,factual,easy,What is the current renewable penetration level and its impact on system inertia?,"Instantaneous renewable penetration is 25.0% — wind 435.3 MW, solar 266.8 MW — out of 2003.3 MW total system load. System inertia has fallen to 5.2 GW-s from the conventional 8.1 GW-s baseline, requiring 580.1 MW of synthetic inertia from grid-forming inverters to meet the ROCOF limit.",2015.347,2003.327,12.02,0.985,1.03,0.716,35.6,IEEE-118,SCN_RI_0031,none,N/A,N/A,T07,True,True,3,4.33,True,0.0,0.0,0.327,0.514,0.84,True,91.9,False,none,0.76,physics-constrained synthetic generation,2024-01-01
RI_0032,renewable_integration,train,reasoning,medium,How should the operator manage a 139 MW wind ramp-down under 25% renewable penetration?,A 139 MW wind ramp-down at 25% penetration requires coordinated four-stage response: (1) fast frequency response from battery storage — 52 MW within 1 s; (2) governor droop from thermal units — 35 MW within 10 s; (3) demand response — 28 MW within 5 min; (4) CCGT start-up — 17 MW within 15 min. Frequency nadir is 59.42 Hz — above the 59.3 Hz UFLS threshold. Voltage at all buses remains within 0.95–1.05 pu.,3152.749,3140.188,12.561,0.987,1.033,0.598,38.7,IEEE-14,SCN_RI_0032,none,N/A,N/A,T08,True,True,3,3.67,True,0.0,0.0,0.362,0.52,0.824,True,87.4,False,none,0.77,physics-constrained synthetic generation,2024-01-01
RI_0033,renewable_integration,train,multi_step,hard,What storage capacity firms a 269 MW wind farm to within ±5% of rated output?,Firming 269 MW wind to ±5% (±13 MW) requires 97 MW / 388 MWh of battery storage based on historical variability profiles. Minimum state of charge must remain above 20% to cover worst-case 4-hour low-wind periods. Estimated capital cost is 136 million USD at current storage prices. Power balance and voltage constraints are satisfied throughout the dispatch horizon.,3667.581,3645.707,21.874,0.964,1.025,0.685,44.1,IEEE-30,SCN_RI_0033,none,N/A,N/A,T09,True,True,3,4.67,True,0.0,0.0,0.366,0.475,0.828,True,90.9,False,none,0.82,physics-constrained synthetic generation,2024-01-01
RI_0034,renewable_integration,train,factual,easy,What is the current renewable penetration level and its impact on system inertia?,"Instantaneous renewable penetration is 25.0% — wind 821.5 MW, solar 503.5 MW — out of 2974.3 MW total system load. System inertia has fallen to 4.4 GW-s from the conventional 7.8 GW-s baseline, requiring 477.4 MW of synthetic inertia from grid-forming inverters to meet the ROCOF limit.",2989.162,2974.291,14.871,0.974,1.03,0.782,46.7,IEEE-118,SCN_RI_0034,none,N/A,N/A,T10,True,True,3,3.33,True,0.0,0.0,0.356,0.491,0.845,True,91.1,False,none,0.82,physics-constrained synthetic generation,2024-01-01
RI_0035,renewable_integration,train,reasoning,medium,What curtailment is needed to prevent voltage violations at 50% renewable penetration?,"At 50% penetration, voltage rise at remote generation buses exceeds 1.05 pu at 4 locations. Required curtailment: 545.4 MW solar at buses 87 and 89, and 436.3 MW wind at buses 91 and 22. Post-curtailment maximum voltage is 1.036 pu. Curtailment opportunity cost at 28.2 USD/MWh is 429472 USD/hour.",5510.018,5477.155,32.863,0.985,1.036,0.892,49.8,IEEE-118,SCN_RI_0035,none,N/A,N/A,T11,True,True,3,3.67,True,0.0,0.0,0.353,0.47,0.825,True,89.0,False,none,0.75,physics-constrained synthetic generation,2024-01-01
RI_0036,renewable_integration,train,multi_step,hard,What storage capacity firms a 319 MW wind farm to within ±5% of rated output?,Firming 319 MW wind to ±5% (±16 MW) requires 115 MW / 460 MWh of battery storage based on historical variability profiles. Minimum state of charge must remain above 20% to cover worst-case 4-hour low-wind periods. Estimated capital cost is 161 million USD at current storage prices. Power balance and voltage constraints are satisfied throughout the dispatch horizon.,2984.631,2963.884,20.747,0.959,1.041,0.822,50.0,IEEE-118,SCN_RI_0036,none,N/A,N/A,T12,True,True,3,3.33,True,0.0,0.0,0.373,0.523,0.858,True,90.0,False,none,0.82,physics-constrained synthetic generation,2024-01-01
RI_0037,renewable_integration,train,factual,easy,What is the current renewable penetration level and its impact on system inertia?,"Instantaneous renewable penetration is 20.0% — wind 1201.6 MW, solar 736.5 MW — out of 3257.0 MW total system load. System inertia has fallen to 6.6 GW-s from the conventional 8.0 GW-s baseline, requiring 485.8 MW of synthetic inertia from grid-forming inverters to meet the ROCOF limit.",3279.783,3256.984,22.799,0.975,1.035,0.776,59.5,IEEE-118,SCN_RI_0037,none,N/A,N/A,T01,True,True,3,4.0,True,0.0,0.0,0.315,0.437,0.847,True,88.6,False,none,0.75,physics-constrained synthetic generation,2024-01-01
RI_0038,renewable_integration,train,reasoning,medium,How should the operator manage a 429 MW wind ramp-down under 15% renewable penetration?,A 429 MW wind ramp-down at 15% penetration requires coordinated four-stage response: (1) fast frequency response from battery storage — 161 MW within 1 s; (2) governor droop from thermal units — 107 MW within 10 s; (3) demand response — 86 MW within 5 min; (4) CCGT start-up — 54 MW within 15 min. Frequency nadir is 59.51 Hz — above the 59.3 Hz UFLS threshold. Voltage at all buses remains within 0.95–1.05 pu.,5348.14,5316.243,31.897,0.975,1.014,0.85,66.6,IEEE-30,SCN_RI_0038,none,N/A,N/A,T02,True,True,3,4.33,True,0.0,0.0,0.384,0.431,0.836,True,92.2,False,none,0.81,physics-constrained synthetic generation,2024-01-01
RI_0039,renewable_integration,train,multi_step,hard,What storage capacity firms a 526 MW wind farm to within ±5% of rated output?,Firming 526 MW wind to ±5% (±26 MW) requires 189 MW / 757 MWh of battery storage based on historical variability profiles. Minimum state of charge must remain above 20% to cover worst-case 4-hour low-wind periods. Estimated capital cost is 265 million USD at current storage prices. Power balance and voltage constraints are satisfied throughout the dispatch horizon.,4748.646,4725.021,23.625,0.971,1.029,0.668,38.1,IEEE-118,SCN_RI_0039,none,N/A,N/A,T03,True,True,3,3.67,True,0.0,0.0,0.412,0.494,0.822,True,92.9,False,none,0.82,physics-constrained synthetic generation,2024-01-01
RI_0040,renewable_integration,train,factual,easy,What is the current renewable penetration level and its impact on system inertia?,"Instantaneous renewable penetration is 20.0% — wind 1125.6 MW, solar 689.9 MW — out of 4546.2 MW total system load. System inertia has fallen to 5.3 GW-s from the conventional 7.9 GW-s baseline, requiring 653.0 MW of synthetic inertia from grid-forming inverters to meet the ROCOF limit.",4568.975,4546.244,22.731,0.97,1.017,0.849,40.1,IEEE-118,SCN_RI_0040,none,N/A,N/A,T04,True,True,3,3.67,True,0.0,0.0,0.398,0.449,0.849,True,93.8,False,none,0.74,physics-constrained synthetic generation,2024-01-01
RI_0041,renewable_integration,train,reasoning,medium,What curtailment is needed to prevent voltage violations at 70% renewable penetration?,"At 70% penetration, voltage rise at remote generation buses exceeds 1.05 pu at 8 locations. Required curtailment: 413.3 MW solar at buses 87 and 89, and 330.7 MW wind at buses 91 and 22. Post-curtailment maximum voltage is 1.033 pu. Curtailment opportunity cost at 24.6 USD/MWh is 415606 USD/hour.",5577.549,5544.283,33.266,0.982,1.033,0.586,53.3,IEEE-118,SCN_RI_0041,none,N/A,N/A,T05,True,True,3,4.0,True,0.0,0.0,0.347,0.46,0.843,True,90.7,False,none,0.77,physics-constrained synthetic generation,2024-01-01
RI_0042,renewable_integration,train,multi_step,hard,What storage capacity firms a 132 MW wind farm to within ±5% of rated output?,Firming 132 MW wind to ±5% (±7 MW) requires 48 MW / 191 MWh of battery storage based on historical variability profiles. Minimum state of charge must remain above 20% to cover worst-case 4-hour low-wind periods. Estimated capital cost is 67 million USD at current storage prices. Power balance and voltage constraints are satisfied throughout the dispatch horizon.,2325.484,2309.319,16.165,0.969,1.033,0.897,59.8,IEEE-30,SCN_RI_0042,none,N/A,N/A,T06,True,True,3,4.33,True,0.0,0.0,0.353,0.505,0.834,True,91.0,False,none,0.81,physics-constrained synthetic generation,2024-01-01
RI_0043,renewable_integration,train,factual,easy,What is the wind fleet ramp capability under current meteorological conditions?,"Wind fleet upward ramp capability is 311.5 MW per 15-minute interval based on current wind gradient measurements. Maximum observed 15-minute ramp over the past 30 days was 274.1 MW, providing 12.0% headroom. Voltage at wind-connected buses is within 0.95–1.05 pu.",3380.208,3356.711,23.497,0.965,1.029,0.74,58.8,IEEE-118,SCN_RI_0043,none,N/A,N/A,T07,True,True,3,4.0,True,0.0,0.0,0.384,0.532,0.855,True,85.3,False,none,0.83,physics-constrained synthetic generation,2024-01-01
